transaction_text,amount,amount_log,payment_method,transaction_type,category
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4361.84,8.380878500436506,Auto Debit,Debit,Bills
Zepto UPI/Paytm/Zepto,1226.03,7.112351894289769,Upi,Debit,Groceries
Ace Hardware India POS Purchase Ace Hardware India,523.73,6.262883844587082,Credit Card,Debit,Miscellaneous
Zepto UPI/DR/623175732898/Zepto,1290.29,7.1633969976888014,Upi,Debit,Groceries
House Rent Payment NEFT Rent Payment,44800.94,10.710006721036933,Neft,Debit,Rent
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2761.36,7.923840665808767,Net Banking,Debit,Bills
Swiggy UPI/Paytm/Swiggy,268.49,5.596531283909225,Upi,Debit,Food
McDonald's India UPI/DR/200262210949/McDonald's India,306.84,5.729580167477342,Upi,Debit,Food
BookMyShow UPI Payment BookMyShow,323.91,5.783548220902539,Upi,Debit,Entertainment
Ajio POS Purchase Ajio,491.31,6.19910859937524,Credit Card,Debit,Shopping
Cafe Coffee Day UPI/DR/400481269539/Cafe Coffee Day,144.85,4.98257869631373,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2801.01,7.938092295769956,Net Banking,Debit,Bills
BEST Net Banking Payment BEST,5154.86,8.54788921085878,Net Banking,Debit,Bills
Ace Hardware India Debit Card POS Ace Hardware India,524.73,6.264787772965275,Debit Card,Debit,Miscellaneous
Cafe Coffee Day POS Purchase Cafe Coffee Day,332.16,5.8086228550671395,Credit Card,Debit,Food
HPCL UPI/DR/194161559602/HPCL,2855.13,7.957222840630836,Upi,Debit,Fuel
Airtel UPI/DR/594882222524/Airtel,478.83,6.173431874503444,Upi,Debit,Bills
House Rent Payment NEFT Rent Payment,42338.57,10.653477388756322,Neft,Debit,Rent
Indian Oil UPI/DR/452043596566/Indian Oil,3363.4,8.121004920088282,Upi,Debit,Fuel
Cafe Coffee Day UPI/DR/556151075645/Cafe Coffee Day,154.29,5.045294336581097,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4209.68,8.345379433823469,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,153.74,5.041746289121308,Auto Debit,Debit,Subscription
McDonald's India UPI/Paytm/McDonald's India,376.36,5.933199638976006,Upi,Debit,Food
Bharat Gas UPI/DR/203003255767/Bharat Gas,763.99,6.639862761845673,Upi,Debit,Bills
Myntra Debit Card POS Myntra,1614.1,7.387152153244467,Debit Card,Debit,Shopping
HPCL UPI Payment HPCL,2943.71,7.9877656192505855,Upi,Debit,Fuel
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,14999.79,9.615858145364173,Auto Debit,Debit,Bills
Nykaa UPI/Paytm/Nykaa,1269.56,7.1472130271469005,Upi,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2862.19,7.95969166685002,Auto Debit,Debit,Bills
Ajio POS Purchase Ajio,545.07,6.302747172655535,Credit Card,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4310.62,8.36906898254594,Auto Debit,Debit,Bills
Bharat Gas Auto Debit Bharat Gas,766.94,6.643711605095755,Auto Debit,Debit,Bills
