transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country,day,week,month,weekend,month_end,salary_week,festival_season
TXN000001,2018-01-01,09:22:10,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4361.84,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,1,1,1,0,0,1,0
TXN000002,2018-01-01,12:33:23,Zepto,UPI/Paytm/Zepto,1226.03,INR,UPI,Debit,Groceries,Bengaluru,Karnataka,India,1,1,1,0,0,1,0
TXN000003,2018-01-01,20:17:30,Ace Hardware India,POS Purchase Ace Hardware India,523.73,INR,Credit Card,Debit,Miscellaneous,Bengaluru,Karnataka,India,1,1,1,0,0,1,0
TXN000004,2018-01-01,21:33:19,Zepto,UPI/DR/623175732898/Zepto,1290.29,INR,UPI,Debit,Groceries,Indore,Madhya Pradesh,India,1,1,1,0,0,1,0
TXN000005,2018-01-02,08:43:33,House Rent Payment,NEFT Rent Payment,44800.94,INR,NEFT,Debit,Rent,Pune,Maharashtra,India,2,1,1,0,0,1,0
TXN000006,2018-01-02,11:44:19,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2761.36,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India,2,1,1,0,0,1,0
TXN000007,2018-01-02,12:17:48,Swiggy,UPI/Paytm/Swiggy,268.49,INR,UPI,Debit,Food,Bengaluru,Karnataka,India,2,1,1,0,0,1,0
TXN000008,2018-01-02,12:27:57,McDonald's India,UPI/DR/200262210949/McDonald's India,306.84,INR,UPI,Debit,Food,Bengaluru,Karnataka,India,2,1,1,0,0,1,0
TXN000009,2018-01-02,20:06:32,BookMyShow,UPI Payment BookMyShow,323.91,INR,UPI,Debit,Entertainment,Surat,Gujarat,India,2,1,1,0,0,1,0
TXN000010,2018-01-02,21:08:00,Ajio,POS Purchase Ajio,491.31,INR,Credit Card,Debit,Shopping,Nagpur,Maharashtra,India,2,1,1,0,0,1,0
TXN000011,2018-01-02,22:13:02,Cafe Coffee Day,UPI/DR/400481269539/Cafe Coffee Day,144.85,INR,UPI,Debit,Food,Lucknow,Uttar Pradesh,India,2,1,1,0,0,1,0
TXN000012,2018-01-03,10:19:33,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2801.01,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India,3,1,1,0,0,0,0
TXN000013,2018-01-03,11:33:04,BEST,Net Banking Payment BEST,5154.86,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India,3,1,1,0,0,0,0
TXN000014,2018-01-04,11:30:12,Ace Hardware India,Debit Card POS Ace Hardware India,524.73,INR,Debit Card,Debit,Miscellaneous,Surat,Gujarat,India,4,1,1,0,0,0,0
TXN000015,2018-01-04,13:56:06,Cafe Coffee Day,POS Purchase Cafe Coffee Day,332.16,INR,Credit Card,Debit,Food,Bengaluru,Karnataka,India,4,1,1,0,0,0,0
TXN000016,2018-01-04,15:40:25,HPCL,UPI/DR/194161559602/HPCL,2855.13,INR,UPI,Debit,Fuel,Nagpur,Maharashtra,India,4,1,1,0,0,0,0
TXN000017,2018-01-05,06:00:51,Airtel,UPI/DR/594882222524/Airtel,478.83,INR,UPI,Debit,Bills,Ahmedabad,Gujarat,India,5,1,1,0,0,0,0
TXN000018,2018-01-05,09:39:46,House Rent Payment,NEFT Rent Payment,42338.57,INR,NEFT,Debit,Rent,Bengaluru,Karnataka,India,5,1,1,0,0,0,0
TXN000019,2018-01-05,11:42:14,Indian Oil,UPI/DR/452043596566/Indian Oil,3363.4,INR,UPI,Debit,Fuel,Ahmedabad,Gujarat,India,5,1,1,0,0,0,0
TXN000020,2018-01-05,14:26:09,Cafe Coffee Day,UPI/DR/556151075645/Cafe Coffee Day,154.29,INR,UPI,Debit,Food,Chennai,Tamil Nadu,India,5,1,1,0,0,0,0
TXN000021,2018-01-06,08:09:59,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4209.68,INR,Auto Debit,Debit,Bills,Indore,Madhya Pradesh,India,6,1,1,1,0,0,0
TXN000022,2018-01-07,11:17:28,Spotify,Auto Debit Spotify,153.74,INR,Auto Debit,Debit,Subscription,Chennai,Tamil Nadu,India,7,1,1,1,0,0,0
TXN000023,2018-01-07,14:08:47,McDonald's India,UPI/Paytm/McDonald's India,376.36,INR,UPI,Debit,Food,Surat,Gujarat,India,7,1,1,1,0,0,0
TXN000024,2018-01-08,10:49:00,Bharat Gas,UPI/DR/203003255767/Bharat Gas,763.99,INR,UPI,Debit,Bills,Bengaluru,Karnataka,India,8,2,1,0,0,0,0
TXN000025,2018-01-09,13:21:35,Myntra,Debit Card POS Myntra,1614.1,INR,Debit Card,Debit,Shopping,Pune,Maharashtra,India,9,2,1,0,0,0,0
TXN000026,2018-01-09,13:38:23,HPCL,UPI Payment HPCL,2943.71,INR,UPI,Debit,Fuel,Noida,Uttar Pradesh,India,9,2,1,0,0,0,0
TXN000027,2018-01-10,07:50:11,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,14999.79,INR,Auto Debit,Debit,Bills,Jaipur,Rajasthan,India,10,2,1,0,0,0,0
TXN000028,2018-01-10,08:29:11,Nykaa,UPI/Paytm/Nykaa,1269.56,INR,UPI,Debit,Shopping,Jaipur,Rajasthan,India,10,2,1,0,0,0,0
TXN000029,2018-01-10,11:24:56,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,2862.19,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,10,2,1,0,0,0,0
TXN000030,2018-01-10,19:13:14,Ajio,POS Purchase Ajio,545.07,INR,Credit Card,Debit,Shopping,Chennai,Tamil Nadu,India,10,2,1,0,0,0,0
TXN000031,2018-01-11,11:22:38,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4310.62,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,11,2,1,0,0,0,0
