transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country,day,week,month,weekend,month_end,salary_week,festival_season,transaction_text,transaction_text_length,amount_log,amount_bucket
TXN000001,2018-01-01,1900-01-01 09:22:10,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4361.84,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India,1,1,1,0,0,1,0,Credit Card Bill Payment Auto Debit Credit Card Bill Payment,60,8.380878500436506,Large
TXN000002,2018-01-01,1900-01-01 12:33:23,Zepto,UPI/Paytm/Zepto,1226.03,INR,Upi,Debit,Groceries,Bengaluru,Karnataka,India,1,1,1,0,0,1,0,Zepto UPI/Paytm/Zepto,21,7.112351894289769,Medium
TXN000003,2018-01-01,1900-01-01 20:17:30,Ace Hardware India,POS Purchase Ace Hardware India,523.73,INR,Credit Card,Debit,Miscellaneous,Bengaluru,Karnataka,India,1,1,1,0,0,1,0,Ace Hardware India POS Purchase Ace Hardware India,50,6.262883844587082,Small
TXN000004,2018-01-01,1900-01-01 21:33:19,Zepto,UPI/DR/623175732898/Zepto,1290.29,INR,Upi,Debit,Groceries,Indore,Madhya Pradesh,India,1,1,1,0,0,1,0,Zepto UPI/DR/623175732898/Zepto,31,7.1633969976888014,Medium
TXN000005,2018-01-02,1900-01-01 08:43:33,House Rent Payment,NEFT Rent Payment,44800.94,INR,Neft,Debit,Rent,Pune,Maharashtra,India,2,1,1,0,0,1,0,House Rent Payment NEFT Rent Payment,36,10.710006721036933,Large
TXN000006,2018-01-02,1900-01-01 11:44:19,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2761.36,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India,2,1,1,0,0,1,0,Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,69,7.923840665808767,Large
TXN000007,2018-01-02,1900-01-01 12:17:48,Swiggy,UPI/Paytm/Swiggy,268.49,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,2,1,1,0,0,1,0,Swiggy UPI/Paytm/Swiggy,23,5.596531283909225,Small
TXN000008,2018-01-02,1900-01-01 12:27:57,McDonald's India,UPI/DR/200262210949/McDonald's India,306.84,INR,Upi,Debit,Food,Bengaluru,Karnataka,India,2,1,1,0,0,1,0,McDonald's India UPI/DR/200262210949/McDonald's India,53,5.729580167477342,Small
TXN000009,2018-01-02,1900-01-01 20:06:32,BookMyShow,UPI Payment BookMyShow,323.91,INR,Upi,Debit,Entertainment,Surat,Gujarat,India,2,1,1,0,0,1,0,BookMyShow UPI Payment BookMyShow,33,5.783548220902539,Small
TXN000010,2018-01-02,1900-01-01 21:08:00,Ajio,POS Purchase Ajio,491.31,INR,Credit Card,Debit,Shopping,Nagpur,Maharashtra,India,2,1,1,0,0,1,0,Ajio POS Purchase Ajio,22,6.19910859937524,Small
TXN000011,2018-01-02,1900-01-01 22:13:02,Cafe Coffee Day,UPI/DR/400481269539/Cafe Coffee Day,144.85,INR,Upi,Debit,Food,Lucknow,Uttar Pradesh,India,2,1,1,0,0,1,0,Cafe Coffee Day UPI/DR/400481269539/Cafe Coffee Day,51,4.98257869631373,Small
TXN000012,2018-01-03,1900-01-01 10:19:33,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2801.01,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India,3,1,1,0,0,0,0,Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,69,7.938092295769956,Large
TXN000013,2018-01-03,1900-01-01 11:33:04,BEST,Net Banking Payment BEST,5154.86,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India,3,1,1,0,0,0,0,BEST Net Banking Payment BEST,29,8.54788921085878,Large
TXN000014,2018-01-04,1900-01-01 11:30:12,Ace Hardware India,Debit Card POS Ace Hardware India,524.73,INR,Debit Card,Debit,Miscellaneous,Surat,Gujarat,India,4,1,1,0,0,0,0,Ace Hardware India Debit Card POS Ace Hardware India,52,6.264787772965275,Small
TXN000015,2018-01-04,1900-01-01 13:56:06,Cafe Coffee Day,POS Purchase Cafe Coffee Day,332.16,INR,Credit Card,Debit,Food,Bengaluru,Karnataka,India,4,1,1,0,0,0,0,Cafe Coffee Day POS Purchase Cafe Coffee Day,44,5.8086228550671395,Small
TXN000016,2018-01-04,1900-01-01 15:40:25,HPCL,UPI/DR/194161559602/HPCL,2855.13,INR,Upi,Debit,Fuel,Nagpur,Maharashtra,India,4,1,1,0,0,0,0,HPCL UPI/DR/194161559602/HPCL,29,7.957222840630836,Large
TXN000017,2018-01-05,1900-01-01 06:00:51,Airtel,UPI/DR/594882222524/Airtel,478.83,INR,Upi,Debit,Bills,Ahmedabad,Gujarat,India,5,1,1,0,0,0,0,Airtel UPI/DR/594882222524/Airtel,33,6.173431874503444,Small
TXN000018,2018-01-05,1900-01-01 09:39:46,House Rent Payment,NEFT Rent Payment,42338.57,INR,Neft,Debit,Rent,Bengaluru,Karnataka,India,5,1,1,0,0,0,0,House Rent Payment NEFT Rent Payment,36,10.653477388756322,Large
