transaction_date,amount
2018-01-01,4361.84
2018-01-01,1226.03
2018-01-01,523.73
2018-01-01,1290.29
2018-01-02,44800.94
2018-01-02,2761.36
2018-01-02,268.49
2018-01-02,306.84
2018-01-02,323.91
2018-01-02,491.31
2018-01-02,144.85
2018-01-03,2801.01
2018-01-03,5154.86
2018-01-04,524.73
2018-01-04,332.16
2018-01-04,2855.13
2018-01-05,478.83
2018-01-05,42338.57
2018-01-05,3363.4
2018-01-05,154.29
2018-01-06,4209.68
2018-01-07,153.74
2018-01-07,376.36
2018-01-08,763.99
2018-01-09,1614.1
2018-01-09,2943.71
2018-01-10,14999.79
2018-01-10,1269.56
2018-01-10,2862.19
2018-01-10,545.07
2018-01-11,4310.62
2018-01-11,766.94
2018-01-12,46314.09
2018-01-12,2959.23
2018-01-13,214.83
2018-01-13,138.51
2018-01-13,320.8
2018-01-14,4362.49
2018-01-15,14256.14
2018-01-16,1365.12
2018-01-17,630.2
2018-01-17,740.72
2018-01-17,152.69
2018-01-18,719.03
2018-01-19,4425.22
2018-01-19,43239.03
2018-01-19,486.59
2018-01-20,15776.17
2018-01-20,46734.63
2018-01-20,517.81
2018-01-20,162.04
2018-01-20,520.99
2018-01-21,716.67
2018-01-21,506.48
2018-01-21,530.22
2018-01-22,327.31
2018-01-22,675.94
2018-01-22,339.7
2018-01-23,624.65
2018-01-23,324.49
2018-01-23,649.89
2018-01-24,590.54
2018-01-24,1295.04
2018-01-24,1285.81
2018-01-25,525.95
2018-01-26,5504.99
2018-01-26,313.18
2018-01-27,1538.01
2018-01-28,2846.64
2018-01-28,383.34
2018-01-29,4438.24
2018-01-29,646.11
2018-01-29,495.96
2018-01-29,1522.08
2018-01-29,338.88
2018-01-29,408.98
2018-01-29,674.01
2018-01-29,504.17
2018-01-29,1327.84
2018-01-29,297.72
2018-01-30,645.12
2018-01-31,2794.01
2018-01-31,479.36
2018-02-01,5361.8
2018-02-01,1944.21
2018-02-01,895.88
2018-02-01,647.96
2018-02-02,46027.55
2018-02-02,4954.67
2018-02-02,213.06
2018-02-02,626.7
2018-02-02,1740.69
2018-02-02,205.29
2018-02-02,169.79
2018-02-03,46992.92
2018-02-03,168.54
2018-02-03,940.6
2018-02-03,950.12
2018-02-04,5742.74
2018-02-04,1804.15
2018-02-04,311.82
2018-02-04,1148.99
2018-02-05,165.66
2018-02-06,1818.08
2018-02-06,616.18
2018-02-06,208.37
2018-02-06,178.25
2018-02-07,1138.47
2018-02-07,1260.98
2018-02-07,518.04
2018-02-08,1501.5
2018-02-08,3640.36
2018-02-09,1804.35
2018-02-09,5319.18
2018-02-09,330.9
2018-02-10,979.73
2018-02-10,1784.99
2018-02-11,156.6
2018-02-11,314.87
2018-02-12,301.82
2018-02-13,226.88
2018-02-13,1950.44
2018-02-13,621.07
2018-02-14,5087.95
2018-02-14,506.73
2018-02-14,994.63
2018-02-15,315.98
2018-02-15,186.32
2018-02-15,303.22
2018-02-15,881.02
2018-02-16,47492.08
2018-02-16,195.76
2018-02-16,1448.66
2018-02-17,1837.5
2018-02-17,3443.57
2018-02-17,46175.24
2018-02-17,921.26
2018-02-17,949.38
2018-02-17,118.22
2018-02-18,1798.21
2018-02-18,1867.33
2018-02-18,1911.32
2018-02-19,2958.98
2018-02-20,800.13
2018-02-21,1933.82
2018-02-21,1912.07
2018-02-21,1854.11
2018-02-21,1185.37
2018-02-21,1580.72
2018-02-22,196.41
2018-02-22,1403.43
2018-02-23,1254.24
2018-02-23,3175.63
2018-02-24,184.23
2018-02-24,43912.33
2018-02-24,153.2
2018-02-25,1870.76
2018-02-25,324.62
2018-02-26,1900.74
2018-02-26,177.5
2018-02-27,5404.62
2018-02-27,960.06
2018-02-27,120.79
2018-02-28,1921.76
2018-02-28,3638.47
2018-03-01,5873.21
2018-03-01,522.85
2018-03-01,793.5
2018-03-01,1029.01
2018-03-02,44709.1
2018-03-02,445.18
2018-03-02,5508.79
2018-03-02,834.36
2018-03-03,1314.17
2018-03-03,481.0
2018-03-04,5928.55
2018-03-04,449.62
2018-03-04,748.9
2018-03-04,451.84
2018-03-04,425.27
2018-03-05,223.94
2018-03-05,167.2
2018-03-05,323.83
2018-03-05,148.04
2018-03-05,588.34
2018-03-06,150.52
2018-03-06,44629.34
2018-03-06,220.77
2018-03-06,1291.75
2018-03-06,461.61
2018-03-06,262.5
2018-03-06,151.45
2018-03-07,5483.01
2018-03-07,143.33
2018-03-08,4628.44
2018-03-08,582.43
2018-03-08,163.66
2018-03-09,3283.62
2018-03-09,1040.75
2018-03-09,453.51
2018-03-10,708.95
2018-03-10,1507.48
2018-03-11,5532.28
2018-03-11,3312.7
2018-03-11,533.4
2018-03-11,665.45
2018-03-11,185.72
2018-03-12,4608.84
2018-03-12,218.82
2018-03-12,1340.46
2018-03-12,330.51
2018-03-12,288.3
2018-03-12,833.29
2018-03-12,589.21
2018-03-13,167.16
2018-03-13,201.62
2018-03-13,405.17
2018-03-13,457.13
2018-03-14,1050.66
2018-03-14,598.72
2018-03-15,226.65
2018-03-15,257.67
2018-03-15,444.09
2018-03-16,42912.35
2018-03-16,608.7
2018-03-17,648.07
2018-03-17,47664.75
2018-03-17,313.79
2018-03-18,854.6
2018-03-19,5313.58
2018-03-19,443.8
2018-03-19,186.78
2018-03-20,1255.5
2018-03-20,435.28
2018-03-20,157.6
2018-03-21,1476.96
2018-03-21,580.86
2018-03-21,321.6
2018-03-22,756.51
2018-03-24,310.46
2018-03-24,629.02
2018-03-25,551.82
2018-03-25,4499.66
2018-03-25,4345.66
2018-03-25,808.0
2018-03-26,820.12
2018-03-26,669.71
2018-03-26,275.29
2018-03-27,4444.05
2018-03-27,163.0
2018-03-27,464.71
2018-03-27,607.3
2018-03-28,588.04
2018-03-28,553.98
2018-03-28,137.57
2018-03-29,683.22
2018-03-29,1458.35
2018-03-29,2807.98
2018-03-30,45807.43
2018-03-30,616.73
2018-03-30,2939.47
2018-03-31,208.62
2018-03-31,4218.9
2018-03-31,488.23
2018-03-31,870.88
2018-03-31,309.77
2018-03-31,3461.38
2018-04-01,232.12
2018-04-01,387.5
2018-04-01,2125.78
2018-04-01,314.79
2018-04-01,800.73
2018-04-02,2128.13
