,transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country
0,TXN000001,2018-01-01,09:22:10,Credit Card Bill Payment,Auto Debit Credit Card Bill Payment,4361.84,INR,Auto Debit,Debit,Bills,Bengaluru,Karnataka,India
1,TXN000002,2018-01-01,12:33:23,Zepto,UPI/Paytm/Zepto,1226.03,INR,UPI,Debit,Groceries,Bengaluru,Karnataka,India
2,TXN000003,2018-01-01,20:17:30,Ace Hardware India,POS Purchase Ace Hardware India,523.73,INR,Credit Card,Debit,Miscellaneous,Bengaluru,Karnataka,India
3,TXN000004,2018-01-01,21:33:19,Zepto,UPI/DR/623175732898/Zepto,1290.29,INR,UPI,Debit,Groceries,Indore,Madhya Pradesh,India
4,TXN000005,2018-01-02,08:43:33,House Rent Payment,NEFT Rent Payment,44800.94,INR,NEFT,Debit,Rent,Pune,Maharashtra,India
5,TXN000006,2018-01-02,11:44:19,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2761.36,INR,Net Banking,Debit,Bills,Bengaluru,Karnataka,India
6,TXN000007,2018-01-02,12:17:48,Swiggy,UPI/Paytm/Swiggy,268.49,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
7,TXN000008,2018-01-02,12:27:57,McDonald's India,UPI/DR/200262210949/McDonald's India,306.84,INR,UPI,Debit,Food,Bengaluru,Karnataka,India
8,TXN000009,2018-01-02,20:06:32,BookMyShow,UPI Payment BookMyShow,323.91,INR,UPI,Debit,Entertainment,Surat,Gujarat,India
9,TXN000010,2018-01-02,21:08:00,Ajio,POS Purchase Ajio,491.31,INR,Credit Card,Debit,Shopping,Nagpur,Maharashtra,India
10,TXN000011,2018-01-02,22:13:02,Cafe Coffee Day,UPI/DR/400481269539/Cafe Coffee Day,144.85,INR,UPI,Debit,Food,Lucknow,Uttar Pradesh,India
11,TXN000012,2018-01-03,10:19:33,Credit Card Bill Payment,Net Banking Payment Credit Card Bill Payment,2801.01,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India
12,TXN000013,2018-01-03,11:33:04,BEST,Net Banking Payment BEST,5154.86,INR,Net Banking,Debit,Bills,Ahmedabad,Gujarat,India
13,TXN000014,2018-01-04,11:30:12,Ace Hardware India,Debit Card POS Ace Hardware India,524.73,INR,Debit Card,Debit,Miscellaneous,Surat,Gujarat,India
14,TXN000015,2018-01-04,13:56:06,Cafe Coffee Day,POS Purchase Cafe Coffee Day,332.16,INR,Credit Card,Debit,Food,Bengaluru,Karnataka,India
15,TXN000016,2018-01-04,15:40:25,HPCL,UPI/DR/194161559602/HPCL,2855.13,INR,UPI,Debit,Fuel,Nagpur,Maharashtra,India
16,TXN000017,2018-01-05,06:00:51,Airtel,UPI/DR/594882222524/Airtel,478.83,INR,UPI,Debit,Bills,Ahmedabad,Gujarat,India
17,TXN000018,2018-01-05,09:39:46,House Rent Payment,NEFT Rent Payment,42338.57,INR,NEFT,Debit,Rent,Bengaluru,Karnataka,India
18,TXN000019,2018-01-05,11:42:14,Indian Oil,UPI/DR/452043596566/Indian Oil,3363.4,INR,UPI,Debit,Fuel,Ahmedabad,Gujarat,India
19,TXN000020,2018-01-05,14:26:09,Cafe Coffee Day,UPI/DR/556151075645/Cafe Coffee Day,154.29,INR,UPI,Debit,Food,Chennai,Tamil Nadu,India
