date,total_spending
2018-01-01,59613.591499999915
2018-01-02,70918.56299999983
2018-01-03,28836.12
2018-01-04,30800.531499999914
2018-01-05,77277.53299999984
2018-01-06,24714.74
2018-01-07,2693.69
2018-01-08,19897.489999999998
2018-01-09,20414.07
2018-01-10,54559.78
2018-01-11,42546.161499999915
2018-01-12,42428.091499999915
2018-01-13,6670.86
2018-01-14,50408.632999999834
2018-01-15,20203.809999999998
2018-01-16,9788.11
2018-01-17,7886.48
2018-01-18,9684.86
2018-01-19,56543.532999999836
2018-01-20,64212.14149999992
2018-01-21,52380.97149999992
2018-01-22,60811.57149999992
2018-01-23,7217.83
2018-01-24,28720.241499999916
2018-01-25,4011.76
2018-01-26,40016.04149999992
2018-01-27,34817.520000000004
2018-01-28,70040.45
2018-01-29,36635.17
2018-01-30,24098.84
2018-01-31,25999.92
2018-02-01,33660.47
2018-02-02,103766.48449999976
2018-02-03,63395.90299999983
2018-02-04,37489.399999999994
2018-02-05,34977.32
2018-02-06,32099.61
2018-02-07,25649.83
2018-02-08,17015.72
2018-02-09,15945.75
2018-02-10,30492.93
2018-02-11,13485.15
2018-02-12,43736.22149999992
2018-02-13,16295.720000000001
2018-02-14,43732.451499999916
2018-02-15,41439.25149999992
2018-02-16,27876.191499999917
2018-02-17,37033.771499999915
2018-02-18,21065.65
2018-02-19,19446.79
2018-02-20,8151.92
2018-02-21,61005.71149999992
2018-02-22,17732.88
2018-02-23,44015.08149999991
2018-02-24,90548.18449999976
2018-02-25,68157.02149999992
2018-02-26,50115.42149999992
2018-02-27,62148.43149999992
2018-02-28,86032.06
2018-03-01,41085.58149999992
2018-03-02,64072.952999999834
2018-03-03,35553.020000000004
2018-03-04,70554.58299999984
2018-03-05,66022.46299999984
2018-03-06,75888.87449999976
2018-03-07,21965.91
2018-03-08,22908.62
2018-03-09,41626.340000000004
2018-03-10,19029.02
2018-03-11,40934.82
2018-03-12,32351.120000000003
2018-03-13,29059.539999999997
2018-03-14,47094.90149999992
2018-03-15,49198.5
2018-03-16,51532.20149999992
2018-03-17,40739.29149999992
2018-03-18,47114.661499999915
2018-03-19,19225.559999999998
2018-03-20,7263.549999999999
2018-03-21,23855.69
2018-03-22,8305.64
2018-03-23,7032.15
2018-03-24,48625.121499999914
2018-03-25,16856.94
2018-03-26,20200.64
2018-03-27,55070.96149999992
2018-03-28,50667.231499999914
2018-03-29,102170.45149999992
2018-03-30,76165.89149999991
2018-03-31,91175.59149999992
2018-04-01,30894.64
2018-04-02,48015.11149999992
2018-04-03,109865.39599999967
2018-04-04,94830.08449999975
2018-04-05,24742.35
2018-04-06,16507.25
2018-04-07,21804.86
2018-04-08,45951.451499999916
2018-04-09,12645.07
2018-04-10,48401.311499999916
2018-04-11,80159.52149999992
2018-04-12,49461.80149999992
2018-04-13,44804.54149999992
2018-04-14,7651.43
2018-04-15,20435.96
2018-04-16,17538.34
2018-04-17,18589.87
2018-04-18,23218.600000000002
2018-04-19,41854.60149999992
2018-04-20,26746.690000000002
2018-04-21,31015.35
2018-04-22,51762.340000000004
2018-04-23,29354.739999999998
2018-04-24,14869.85
2018-04-25,15125.350000000002
2018-04-26,78908.63149999992
2018-04-27,78715.75299999984
2018-04-28,65696.39
2018-04-29,70680.43149999992
2018-04-30,58760.521499999915
2018-05-01,111992.26449999976
2018-05-02,45761.33149999992
2018-05-03,53340.57149999992
2018-05-04,46276.50149999992
2018-05-05,37062.18149999992
2018-05-06,35780.271499999915
2018-05-07,44872.561499999916
2018-05-08,54969.22299999983
2018-05-09,49588.231499999914
2018-05-10,10244.210000000001
2018-05-11,56619.29149999992
2018-05-12,28327.35
2018-05-13,21070.309999999998
2018-05-14,27643.829999999998
2018-05-15,31813.101499999917
2018-05-16,28864.711499999918
2018-05-17,46604.17
2018-05-18,42183.83149999992
2018-05-19,29187.5
2018-05-20,4747.52
2018-05-21,43712.92149999992
2018-05-22,39241.13
2018-05-23,88734.51299999983
2018-05-24,26908.719999999998
2018-05-25,36044.19149999992
2018-05-26,17624.25
2018-05-27,46420.58
2018-05-28,55693.36299999984
2018-05-29,60523.69
2018-05-30,98305.28
2018-05-31,48959.56
2018-06-01,23983.559999999998
2018-06-02,93717.51299999983
2018-06-03,14135.27
2018-06-04,51975.83299999983
2018-06-05,25571.480000000003
2018-06-06,38774.74
2018-06-07,30240.21
2018-06-08,51624.78149999992
2018-06-09,51473.742999999835
2018-06-10,52610.661499999915
2018-06-11,47399.11149999991
2018-06-12,43819.72149999992
2018-06-13,18258.71
2018-06-14,3166.1
2018-06-15,58382.951499999916
2018-06-16,17933.71
2018-06-17,33816.29149999992
2018-06-18,28897.5
2018-06-19,41919.78
2018-06-20,59762.59299999983
2018-06-21,8170.71
2018-06-22,32993.21149999992
2018-06-23,53593.40149999991
2018-06-24,68768.31149999992
2018-06-25,33518.75149999992
2018-06-26,66016.0
2018-06-27,41868.05
2018-06-28,53962.82
2018-06-29,57745.08
2018-06-30,39548.94
2018-07-01,55118.990000000005
2018-07-02,30379.18
2018-07-03,44929.63
2018-07-04,72304.27299999984
2018-07-05,3388.6099999999997
2018-07-06,45880.93149999992
2018-07-07,10595.55
2018-07-08,72225.94299999984
2018-07-09,9383.76
2018-07-10,13646.64
2018-07-11,23869.7
2018-07-12,20552.649999999998
2018-07-13,97764.85299999983
2018-07-14,43626.14
2018-07-15,57717.312999999835
2018-07-16,8837.4
2018-07-17,22950.79
2018-07-18,15316.0
2018-07-19,39230.381499999916
2018-07-20,33390.22149999992
2018-07-21,16577.710000000003
2018-07-22,5116.7699999999995
2018-07-23,22788.89
2018-07-24,53531.65149999992
2018-07-25,25072.260000000002
2018-07-26,71108.87299999983
2018-07-27,64759.630000000005
2018-07-28,31096.65
2018-07-29,27283.100000000002
2018-07-30,35997.85149999992
2018-07-31,74422.38
2018-08-01,11083.11
2018-08-02,62281.75149999992
2018-08-03,59704.99149999992
2018-08-04,18812.54
2018-08-05,53327.55149999992
2018-08-06,48398.952999999834
2018-08-07,5652.95
2018-08-08,20122.43
2018-08-09,30893.0
2018-08-10,48716.551499999914
2018-08-11,11374.52
2018-08-12,4347.75
2018-08-13,51560.93149999992
2018-08-14,32205.37
2018-08-15,28738.041499999916
2018-08-16,51477.51149999991
2018-08-17,62822.07299999983
2018-08-18,11808.939999999999
2018-08-19,32368.93
2018-08-20,14775.74
2018-08-21,41423.35
2018-08-22,36613.95
2018-08-23,5264.360000000001
2018-08-24,3510.55
2018-08-25,5949.5199999999995
2018-08-26,30871.851499999917
2018-08-27,23707.37
2018-08-28,52666.22
2018-08-29,40027.3
2018-08-30,105955.09149999992
2018-08-31,50642.161499999915
2018-09-01,62861.36299999984
2018-09-02,67229.82149999992
2018-09-03,21063.78
2018-09-04,20957.91
2018-09-05,41654.56
2018-09-06,43109.021499999915
2018-09-07,12642.310000000001
2018-09-08,6782.710000000001
2018-09-09,6006.570000000001
2018-09-10,10424.58
2018-09-11,13695.87
2018-09-12,46734.67
2018-09-13,51727.951499999916
2018-09-14,49999.731499999914
2018-09-15,43225.94149999992
2018-09-16,43000.161499999915
2018-09-17,14807.57
2018-09-18,20599.69
2018-09-19,20131.72
2018-09-20,17224.55
2018-09-21,34377.91
2018-09-22,19162.14
2018-09-23,29053.191499999917
2018-09-24,72838.98299999983
2018-09-25,20036.67
2018-09-26,61288.95
2018-09-27,39725.57
2018-09-28,89599.30299999984
2018-09-29,62107.29149999992
2018-09-30,55332.520000000004
2018-10-01,46970.57149999992
2018-10-02,23902.65
2018-10-03,38619.19
2018-10-04,64024.882999999834
2018-10-05,58392.93299999984
2018-10-06,7274.17
2018-10-07,8622.49
2018-10-08,27908.2
2018-10-09,16514.25
2018-10-10,9023.91
2018-10-11,39796.90149999992
2018-10-12,87244.43149999992
2018-10-13,64975.65299999983
2018-10-14,9424.349999999999
2018-10-15,14770.09
2018-10-16,14414.26
2018-10-17,28881.100000000002
2018-10-18,21165.62
2018-10-19,67922.57299999983
2018-10-20,12199.62
2018-10-21,11128.11
2018-10-22,53689.10149999992
2018-10-23,35890.231499999914
2018-10-24,28301.84
2018-10-25,26493.67
2018-10-26,33019.40149999991
2018-10-27,7765.45
2018-10-28,45008.72
2018-10-29,13603.42
2018-10-30,57196.14149999992
