transaction_text,amount,amount_log,amount_bucket,payment_method,transaction_type,category
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4361.84,8.380878500436506,Large,Auto Debit,Debit,Bills
Zepto UPI/Paytm/Zepto,1226.03,7.112351894289769,Medium,Upi,Debit,Groceries
Ace Hardware India POS Purchase Ace Hardware India,523.73,6.262883844587082,Small,Credit Card,Debit,Miscellaneous
Zepto UPI/DR/623175732898/Zepto,1290.29,7.1633969976888014,Medium,Upi,Debit,Groceries
House Rent Payment NEFT Rent Payment,44800.94,10.710006721036933,Large,Neft,Debit,Rent
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2761.36,7.923840665808767,Large,Net Banking,Debit,Bills
Swiggy UPI/Paytm/Swiggy,268.49,5.596531283909225,Small,Upi,Debit,Food
McDonald's India UPI/DR/200262210949/McDonald's India,306.84,5.729580167477342,Small,Upi,Debit,Food
BookMyShow UPI Payment BookMyShow,323.91,5.783548220902539,Small,Upi,Debit,Entertainment
Ajio POS Purchase Ajio,491.31,6.19910859937524,Small,Credit Card,Debit,Shopping
Cafe Coffee Day UPI/DR/400481269539/Cafe Coffee Day,144.85,4.98257869631373,Small,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2801.01,7.938092295769956,Large,Net Banking,Debit,Bills
BEST Net Banking Payment BEST,5154.86,8.54788921085878,Large,Net Banking,Debit,Bills
Ace Hardware India Debit Card POS Ace Hardware India,524.73,6.264787772965275,Small,Debit Card,Debit,Miscellaneous
Cafe Coffee Day POS Purchase Cafe Coffee Day,332.16,5.8086228550671395,Small,Credit Card,Debit,Food
HPCL UPI/DR/194161559602/HPCL,2855.13,7.957222840630836,Large,Upi,Debit,Fuel
Airtel UPI/DR/594882222524/Airtel,478.83,6.173431874503444,Small,Upi,Debit,Bills
House Rent Payment NEFT Rent Payment,42338.57,10.653477388756322,Large,Neft,Debit,Rent
Indian Oil UPI/DR/452043596566/Indian Oil,3363.4,8.121004920088282,Large,Upi,Debit,Fuel
Cafe Coffee Day UPI/DR/556151075645/Cafe Coffee Day,154.29,5.045294336581097,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4209.68,8.345379433823469,Large,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,153.74,5.041746289121308,Small,Auto Debit,Debit,Subscription
McDonald's India UPI/Paytm/McDonald's India,376.36,5.933199638976006,Small,Upi,Debit,Food
Bharat Gas UPI/DR/203003255767/Bharat Gas,763.99,6.639862761845673,Medium,Upi,Debit,Bills
Myntra Debit Card POS Myntra,1614.1,7.387152153244467,Medium,Debit Card,Debit,Shopping
HPCL UPI Payment HPCL,2943.71,7.9877656192505855,Large,Upi,Debit,Fuel
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,14999.79,9.615858145364173,Large,Auto Debit,Debit,Bills
Nykaa UPI/Paytm/Nykaa,1269.56,7.1472130271469005,Medium,Upi,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2862.19,7.95969166685002,Large,Auto Debit,Debit,Bills
Ajio POS Purchase Ajio,545.07,6.302747172655535,Small,Credit Card,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4310.62,8.36906898254594,Large,Auto Debit,Debit,Bills
Bharat Gas Auto Debit Bharat Gas,766.94,6.643711605095755,Medium,Auto Debit,Debit,Bills
Employer Salary Credit NEFT Salary Credit,46314.09,10.743223104901181,Large,Neft,Credit,Salary
BPCL UPI/Paytm/BPCL,2959.23,7.99302224700211,Large,Upi,Debit,Fuel
Municipal Water Department Auto Debit Municipal Water Department,214.83,5.374491060770879,Small,Auto Debit,Debit,Bills
Chaayos POS Purchase Chaayos,138.51,4.938136283280016,Small,Credit Card,Debit,Food
EatClub UPI/Paytm/EatClub,320.8,5.773930234558283,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4362.49,8.381027474862456,Large,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,14256.14,9.56501311284342,Large,Auto Debit,Debit,Bills
Blinkit UPI Collect Blinkit,1365.12,7.21972988400295,Medium,Upi,Debit,Groceries
BSNL Auto Debit BSNL,630.2,6.447622769531664,Small,Auto Debit,Debit,Bills
Bharat Gas UPI/DR/858662013185/Bharat Gas,740.72,6.608971813459182,Medium,Upi,Debit,Bills
Spotify Auto Debit Spotify,152.69,5.034937586619221,Small,Auto Debit,Debit,Subscription
Bharat Gas Auto Debit Bharat Gas,719.03,6.5792928778087365,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4425.22,8.395301225656745,Large,Auto Debit,Debit,Bills
Employer Salary Credit NEFT Salary Credit,43239.03,10.67452196555494,Large,Neft,Credit,Salary
Airtel Auto Debit Airtel,486.59,6.189474888783194,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,15776.17,9.66631923737846,Large,Auto Debit,Debit,Bills
House Rent Payment IMPS Transfer House Rent Payment,46734.63,10.752262107786873,Large,Imps,Debit,Rent
Airtel UPI Collect Airtel,517.81,6.251537727507102,Small,Upi,Debit,Bills
Spotify Auto Debit Spotify,162.04,5.093995569474415,Small,Auto Debit,Debit,Subscription
Ace Hardware India Debit Card POS Ace Hardware India,520.99,6.257648430611017,Small,Debit Card,Debit,Miscellaneous
HP Gas UPI Payment HP Gas,716.67,6.576009853367306,Medium,Upi,Debit,Bills
Home Depot India POS Purchase Home Depot India,506.48,6.229457301272397,Small,Debit Card,Debit,Miscellaneous
Local Hardware Store UPI Payment Local Hardware Store,530.22,6.2751762480558675,Small,Upi,Debit,Miscellaneous
Domino's India UPI/DR/900595246665/Domino's India,327.31,5.793958283988824,Small,Upi,Debit,Food
Burger King Debit Card POS Burger King,675.94,6.5175826426922665,Medium,Debit Card,Debit,Food
Burger King UPI/Paytm/Burger King,339.7,5.831002324666921,Small,Upi,Debit,Food
Cafe Coffee Day UPI Collect Cafe Coffee Day,624.65,6.4387911093110635,Small,Upi,Debit,Food
EatClub UPI Collect EatClub,324.49,5.785331739210489,Small,Upi,Debit,Food
Cafe Coffee Day POS Purchase Cafe Coffee Day,649.89,6.47834065711726,Small,Credit Card,Debit,Food
Airtel Auto Debit Airtel,590.54,6.382729305815005,Small,Auto Debit,Debit,Bills
Blinkit UPI Payment Blinkit,1295.04,7.167068740633462,Medium,Upi,Debit,Groceries
BigBasket Debit Card POS BigBasket,1285.81,7.159921566550094,Medium,Debit Card,Debit,Groceries
Ace Hardware India POS Purchase Ace Hardware India,525.95,6.267105667379946,Small,Credit Card,Debit,Miscellaneous
Adani Electricity Electricity Bill Adani Electricity,5504.99,8.613591869500395,Large,Auto Debit,Debit,Bills
Amazon Prime POS Purchase Amazon Prime,313.18,5.749966070071793,Small,Debit Card,Debit,Entertainment
Amazon India UPI Collect Amazon India,1538.01,7.338894631543565,Medium,Upi,Debit,Shopping
Indian Oil UPI Payment Indian Oil,2846.64,7.954245860047763,Large,Upi,Debit,Fuel
Faasos UPI Payment Faasos,383.34,5.951527577504281,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,4438.24,8.398238469603642,Large,Auto Debit,Debit,Bills
BSNL UPI/Paytm/BSNL,646.11,6.472516295505861,Small,Upi,Debit,Bills
Flipkart UPI/Paytm/Flipkart,495.96,6.208509539960322,Small,Upi,Debit,Shopping
Amazon India POS Purchase Amazon India,1522.08,7.3284898794210696,Medium,Credit Card,Debit,Shopping
McDonald's India UPI/DR/349814531370/McDonald's India,338.88,5.82859261413534,Small,Upi,Debit,Food
Faasos UPI Collect Faasos,408.98,6.016108378020742,Small,Upi,Debit,Food
Domino's India POS Purchase Domino's India,674.01,6.514727505577606,Medium,Credit Card,Debit,Food
Local Hardware Store UPI Payment Local Hardware Store,504.17,6.224895006290327,Small,Upi,Debit,Miscellaneous
Myntra UPI/Paytm/Myntra,1327.84,7.1920616601940015,Medium,Upi,Debit,Shopping
Amazon Prime UPI Collect Amazon Prime,297.72,5.699506679793412,Small,Upi,Debit,Entertainment
Zomato UPI/Paytm/Zomato,645.12,6.470985245045557,Small,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2794.01,7.9355909634003305,Large,Net Banking,Debit,Bills
Ace Hardware India UPI/Paytm/Ace Hardware India,479.36,6.174535822792483,Small,Upi,Debit,Miscellaneous
Adani Electricity Electricity Bill Adani Electricity,5361.8,8.587241505727405,Large,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1944.21,7.573125219375968,Medium,Auto Debit,Debit,Bills
BigBasket Debit Card POS BigBasket,895.88,6.798922073845338,Medium,Debit Card,Debit,Groceries
Jio Auto Debit Jio,647.96,6.4753710815227095,Small,Auto Debit,Debit,Bills
Employer Salary Credit NEFT Salary Credit,46027.55,10.737017135120242,Large,Neft,Credit,Salary
Adani Electricity Electricity Bill Adani Electricity,4954.67,8.508287654575673,Large,Auto Debit,Debit,Bills
Swiggy POS Purchase Swiggy,213.06,5.366256349556229,Small,Debit Card,Debit,Food
Jio Net Banking Payment Jio,626.7,6.442062345323486,Small,Net Banking,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1740.69,7.462611185204348,Medium,Net Banking,Debit,Bills
Barbeque Nation POS Purchase Barbeque Nation,205.29,5.329282945804916,Small,Credit Card,Debit,Food
Starbucks India UPI/DR/662544181990/Starbucks India,169.79,5.1404347316311005,Small,Upi,Debit,Food
House Rent Payment IMPS Transfer House Rent Payment,46992.92,10.75777351062212,Large,Imps,Debit,Rent
Starbucks India UPI Collect Starbucks India,168.54,5.13308888718026,Small,Upi,Debit,Food
Local Wine & Beer Shop UPI/Paytm/Local Wine & Beer Shop,940.6,6.847580555946067,Medium,Upi,Debit,Food
Nature's Basket UPI Payment Nature's Basket,950.12,6.85764023755029,Medium,Upi,Debit,Groceries
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,5742.74,8.65586584507963,Large,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1804.15,7.498398969807235,Medium,Auto Debit,Debit,Bills
Netflix UPI/DR/391923884043/Netflix,311.82,5.745627945246095,Small,Upi,Debit,Entertainment
Reliance Fresh UPI/DR/976745072963/Reliance Fresh,1148.99,7.047508525667315,Medium,Upi,Debit,Groceries
Starbucks India UPI Collect Starbucks India,165.66,5.115955808954061,Small,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1818.08,7.506086157759928,Medium,Net Banking,Debit,Bills
Airtel UPI Collect Airtel,616.18,6.425160715556972,Small,Upi,Debit,Bills
Faasos UPI Collect Faasos,208.37,5.34410302169717,Small,Upi,Debit,Food
Burger King UPI Collect Burger King,178.25,5.188781479479729,Small,Upi,Debit,Food
Bharat Gas Auto Debit Bharat Gas,1138.47,7.038318521002617,Medium,Auto Debit,Debit,Bills
Jio Fiber UPI/DR/293822729412/Jio Fiber,1260.98,7.140437195115041,Medium,Upi,Debit,Bills
Myntra UPI/Paytm/Myntra,518.04,6.251980951486994,Small,Upi,Debit,Shopping
Local Barbershop UPI Collect Local Barbershop,1501.5,7.314885666409363,Medium,Upi,Debit,Miscellaneous
Indian Oil UPI Payment Indian Oil,3640.36,8.20011251722346,Large,Upi,Debit,Fuel
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1804.35,7.498509757786852,Medium,Auto Debit,Debit,Bills
Tata Power Electricity Bill Tata Power,5319.18,8.57926241634978,Large,Auto Debit,Debit,Bills
Domino's India UPI Collect Domino's India,330.9,5.804833718725929,Small,Upi,Debit,Food
Local Wine & Beer Shop POS Purchase Local Wine & Beer Shop,979.73,6.888297192325014,Medium,Credit Card,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1784.99,7.487728162316626,Medium,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,156.6,5.060060177423779,Small,Auto Debit,Debit,Subscription
EatClub POS Purchase EatClub,314.87,5.755330736536778,Small,Debit Card,Debit,Food
Netflix UPI/DR/626434801063/Netflix,301.82,5.713138569580226,Small,Upi,Debit,Entertainment
Municipal Water Department Auto Debit Municipal Water Department,226.88,5.428819174612195,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1950.44,7.576322840567692,Medium,Auto Debit,Debit,Bills
Faasos UPI/Paytm/Faasos,621.07,6.433052626599933,Small,Upi,Debit,Food
BEST Electricity Bill BEST,5087.95,8.534826801427577,Large,Auto Debit,Debit,Bills
Amazon India POS Purchase Amazon India,506.73,6.22994981022139,Small,Credit Card,Debit,Shopping
EatClub UPI/Paytm/EatClub,994.63,6.903375702622826,Medium,Upi,Debit,Food
Cafe Coffee Day POS Purchase Cafe Coffee Day,315.98,5.7588386804042795,Small,Credit Card,Debit,Food
Domino's India POS Purchase Domino's India,186.32,5.232818384315341,Small,Credit Card,Debit,Food
Swiggy UPI Payment Swiggy,303.22,5.717751123883597,Small,Upi,Debit,Food
The Beer Cafe POS Purchase The Beer Cafe,881.02,6.782214731486662,Medium,Debit Card,Debit,Food
Employer Salary Credit NEFT Salary Credit,47492.08,10.768339295199231,Large,Neft,Credit,Salary
Barbeque Nation UPI Collect Barbeque Nation,195.76,5.281984711927139,Small,Upi,Debit,Food
Lakme Salon UPI Payment Lakme Salon,1448.66,7.279084325160619,Medium,Upi,Debit,Miscellaneous
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1837.5,7.516705300741327,Medium,Auto Debit,Debit,Bills
HPCL UPI Collect HPCL,3443.57,8.144554357079624,Large,Upi,Debit,Fuel
House Rent Payment NEFT Rent Payment,46175.24,10.740220659065288,Large,Neft,Debit,Rent
Blinkit UPI Collect Blinkit,921.26,6.826827179464896,Medium,Upi,Debit,Groceries
BigBasket POS Purchase BigBasket,949.38,6.856861904615913,Medium,Debit Card,Debit,Groceries
Third Wave Coffee UPI/Paytm/Third Wave Coffee,118.22,4.780970525791781,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1798.21,7.495102958655449,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1867.33,7.532800262715239,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1911.32,7.556072443624289,Medium,Auto Debit,Debit,Bills
Indian Oil UPI/Paytm/Indian Oil,2958.98,7.992937790538522,Large,Upi,Debit,Fuel
Zomato UPI Collect Zomato,800.13,6.686023231028194,Medium,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1933.82,7.567769577881137,Medium,Net Banking,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1912.07,7.556464560511513,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1854.11,7.525699272474783,Medium,Net Banking,Debit,Bills
Bharat Gas Auto Debit Bharat Gas,1185.37,7.078653503922757,Medium,Auto Debit,Debit,Bills
Naturals Salon Debit Card POS Naturals Salon,1580.72,7.366268141512375,Medium,Debit Card,Debit,Miscellaneous
Cafe Coffee Day Debit Card POS Cafe Coffee Day,196.41,5.285282784277577,Small,Debit Card,Debit,Food
Airtel Auto Debit Airtel,1403.43,7.2473868055016135,Medium,Auto Debit,Debit,Bills
Airtel Auto Debit Airtel,1254.24,7.135082068342552,Medium,Auto Debit,Debit,Bills
Indian Oil UPI Payment Indian Oil,3175.63,8.063576165416146,Large,Upi,Debit,Fuel
Domino's India UPI/Paytm/Domino's India,184.23,5.221598296134632,Small,Upi,Debit,Food
House Rent Payment NEFT Rent Payment,43912.33,10.689973197619482,Large,Neft,Debit,Rent
Spotify Auto Debit Spotify,153.2,5.038250461129229,Small,Auto Debit,Debit,Subscription
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1870.76,7.5346344436903525,Medium,Auto Debit,Debit,Bills
Cafe Coffee Day UPI/DR/645141062499/Cafe Coffee Day,324.62,5.7857310573033685,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1900.74,7.550524535548876,Medium,Auto Debit,Debit,Bills
Burger King UPI Payment Burger King,177.5,5.184588601219693,Small,Upi,Debit,Food
Tata Power Electricity Bill Tata Power,5404.62,8.595194432097925,Large,Auto Debit,Debit,Bills
Zomato UPI Collect Zomato,960.06,6.868036841984891,Medium,Upi,Debit,Food
Chaayos UPI/DR/728400443133/Chaayos,120.79,4.802298250099019,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1921.76,7.561516932807789,Medium,Auto Debit,Debit,Bills
HPCL ATM Cash Withdrawal,3638.47,8.199593345633833,Large,Cash Withdrawal,Debit,Fuel
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,5873.21,8.67832686188561,Large,Net Banking,Debit,Bills
