date,total_spending,day,day_of_week,week,month,quarter,year,is_weekend,is_month_end,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,expanding_mean,target_smooth
2018-01-31,25999.92,31,2,5,1,1,2018,0,1,24098.84,27853.781999999876,58747.131999999874,33801.01485714282,34803.97913333326,19865.67822734184,34803.97913333326,40104.282999999945
2018-02-01,33660.47,1,3,5,2,1,2018,0,0,25999.92,4011.76,69185.64399999975,33536.177428571405,33712.40539999994,19970.259382649303,34519.97722580638,41033.13728571423
2018-02-02,101167.10599999962,2,4,5,2,1,2018,0,0,33660.47,39149.58199999988,28836.12,37771.707428571404,32528.232933333275,15251.304765725432,34493.11762499993,39375.720714285664
2018-02-03,61662.98399999975,3,5,5,2,1,2018,1,0,101167.10599999962,34817.520000000004,29934.071999999873,46631.35371428565,34939.26579999993,28469.979738554128,36513.54151515144,39066.82142857138
2018-02-04,37489.399999999994,4,6,5,2,1,2018,1,0,61662.98399999975,70040.45,75544.61399999975,50466.419999999904,35996.89619999992,28421.434358563918,37253.23099999992,35027.1571428571
2018-02-05,34977.32,5,0,6,2,1,2018,0,0,37489.399999999994,36635.17,24714.74,45816.2699999999,34728.389066666605,27326.912005295377,37259.9786857142,35472.485142857084
2018-02-06,32099.61,6,1,6,2,1,2018,0,0,34977.32,24098.84,2693.69,45579.43428571419,35070.4750666666,27426.745827976356,37196.571499999925,34915.11942857137
2018-02-07,25649.83,7,2,6,2,1,2018,0,0,32099.61,25999.92,19897.489999999998,46722.401428571335,36050.67239999994,26534.579435625838,37058.81578378371,36119.83885714279
2018-02-08,17015.72,8,3,6,2,1,2018,0,0,25649.83,33660.47,20414.07,46672.38857142848,36242.4170666666,26580.437530907406,36758.5793157894,36613.57614285707
2018-02-09,15945.75,9,4,6,2,1,2018,0,0,17015.72,101167.10599999962,54559.78,44294.56714285705,36129.13873333326,28605.791018107037,36252.35215384608,31316.620857142807
2018-02-10,30492.93,10,5,6,2,1,2018,1,0,15945.75,61662.98399999975,41679.701999999874,32120.087714285673,34842.00439999993,15499.418217440085,35744.68709999993,29495.501428571384
2018-02-11,13485.15,11,6,6,2,1,2018,1,0,30492.93,37489.399999999994,41561.631999999874,27667.22285714285,34469.111999999936,8489.804411778676,35616.59546341457,28322.37642857138
2018-02-12,42869.76199999988,12,0,7,2,1,2018,0,0,13485.15,34977.32,6670.86,24238.044285714284,33533.2292666666,8706.337162071168,35089.65628571422,27213.05285714281
2018-02-13,16295.720000000001,13,1,7,2,1,2018,0,0,42869.76199999988,32099.61,48675.71399999975,25365.535999999982,34739.85933333327,10627.888155186061,35270.58897674412,25502.503571428526
2018-02-14,42865.991999999875,14,2,7,2,1,2018,0,0,16295.720000000001,25649.83,20203.809999999998,23107.837428571405,33660.52619999995,10637.554775379773,34839.34195454539,27966.033714285655
2018-02-15,40572.79199999988,15,3,7,2,1,2018,0,0,42865.991999999875,17015.72,9788.11,25567.289142857106,34415.932266666605,13041.76659995475,35017.71195555549,28017.259428571375
2018-02-16,27009.731999999876,16,4,7,2,1,2018,0,0,40572.79199999988,15945.75,7886.48,28932.585142857086,35442.08833333327,13498.674733120499,35138.47456521732,29960.321714285652
2018-02-17,36167.311999999874,17,5,7,2,1,2018,1,0,27009.731999999876,30492.93,9684.86,30513.153999999926,36079.53006666659,12320.967285482457,34965.52259574461,34064.312857142766
2018-02-18,21065.65,18,6,7,2,1,2018,1,0,36167.311999999874,13485.15,54810.613999999754,31323.779999999904,36962.27846666659,12504.71045376654,34990.559874999926,37907.556571428475
2018-02-19,19446.79,19,0,8,2,1,2018,0,0,21065.65,42869.76199999988,63345.68199999988,32406.70857142848,35837.446333333275,10931.682334538116,34706.37804081626,38363.213714285615
2018-02-20,8151.92,20,1,8,2,1,2018,0,0,19446.79,16295.720000000001,51514.51199999988,29060.56971428564,34374.149933333276,10778.973030468977,34401.18627999993,41576.51742857132
2018-02-21,60139.25199999988,21,2,8,2,1,2018,0,0,8151.92,42865.991999999875,59945.11199999988,27897.16971428564,32928.73019999995,12661.446108007463,33886.49478431366,44659.8079999999
2018-02-22,17732.88,22,3,8,2,1,2018,0,0,60139.25199999988,40572.79199999988,7217.83,30364.77828571421,32935.201533333275,17003.60692294835,34391.35549999993,44634.54585714276
2018-02-23,43148.62199999987,23,4,8,2,1,2018,0,0,17732.88,27009.731999999876,27853.781999999876,27101.933714285657,33285.703199999945,16909.435816378293,34077.04464150937,47158.138857142745
2018-02-24,87948.80599999963,24,5,8,2,1,2018,1,0,43148.62199999987,36167.311999999874,4011.76,29407.48942857137,33795.53119999995,17962.24146875112,34245.036814814746,47114.260857142755
2018-02-25,67290.56199999987,25,6,8,2,1,2018,1,0,87948.80599999963,21065.65,39149.58199999988,36804.84571428562,36593.43273333327,28676.927706447066,35221.46898181811,50525.40471428559
2018-02-26,49248.961999999876,26,0,9,2,1,2018,0,0,67290.56199999987,19446.79,34817.520000000004,43408.404571428466,37531.465399999935,29750.64364779071,35794.13135714278,53728.45857142843
2018-02-27,61281.97199999988,27,1,9,2,1,2018,0,0,49248.961999999876,8151.92,70040.45,47665.857714285594,38012.51346666659,27819.8866883277,36030.181017543786,58381.14257142842
2018-02-28,86032.06,28,2,9,2,1,2018,0,1,61281.97199999988,60139.25199999988,36635.17,55255.865142856994,37720.56419999992,21849.738279520137,36465.55672413786,55654.475285714136
2018-03-01,40219.12199999988,1,3,9,3,1,2018,0,0,86032.06,17732.88,24098.84,58954.83771428559,39367.12719999992,24805.96800973581,37305.666949152466,56024.17099999986
2018-03-02,62340.03399999975,2,4,9,3,1,2018,0,0,40219.12199999988,43148.62199999987,25999.92,62167.15799999986,39904.46993333325,19457.477258551626,37354.224533333254,55915.43657142843
2018-03-03,35553.020000000004,3,5,9,3,1,2018,1,0,62340.03399999975,87948.80599999963,33660.47,64908.78828571412,41115.80706666657,17593.890728344613,37763.82796721304,50992.59471428561
2018-03-04,68821.66399999976,4,6,9,3,1,2018,1,0,35553.020000000004,67290.56199999987,101167.10599999962,57423.6759999999,41178.89206666658,17301.253902666904,37728.16977419348,49110.04171428561
2018-03-05,64289.543999999754,5,0,10,3,1,2018,0,0,68821.66399999976,49248.961999999876,61662.98399999975,57642.40485714273,40100.710666666586,17455.773230977178,38221.71730158722,47903.0529999999
2018-03-06,73289.49599999964,6,1,10,3,1,2018,0,0,64289.543999999754,61281.97199999988,37489.399999999994,59791.05942857128,40188.26266666658,17173.825408961406,38629.027093749915,45601.450714285624
2018-03-07,21965.91,7,2,10,3,1,2018,0,0,73289.49599999964,86032.06,34977.32,61506.41999999982,41381.59919999991,17930.557768848503,39162.26507692299,42758.335142857046
2018-03-08,22908.62,8,3,10,3,1,2018,0,0,21965.91,40219.12199999988,32099.61,52354.11285714268,40947.88553333324,19598.559652868196,38901.71424242416,43399.71928571419
2018-03-09,41626.340000000004,9,4,10,3,1,2018,0,0,22908.62,62340.03399999975,25649.83,49881.18399999984,40641.5191999999,22291.974076529095,38663.0113432835,42565.8412857142
2018-03-10,19029.02,10,5,10,3,1,2018,1,0,41626.340000000004,35553.020000000004,17015.72,46922.08485714274,41174.06953333325,21730.23347532535,38706.589705882274,42874.39928571419
2018-03-11,40934.82,11,6,10,3,1,2018,1,0,19029.02,68821.66399999976,15945.75,44561.5134285713,41241.17953333324,23954.747721714935,38421.4075362318,41262.00914285707
2018-03-12,32351.120000000003,12,0,11,3,1,2018,0,0,40934.82,64289.543999999754,30492.93,40577.67857142848,42074.14853333323,21433.93356634754,38457.313428571346,38043.15314285708
2018-03-13,29059.539999999997,13,1,11,3,1,2018,0,0,32351.120000000003,73289.49599999964,13485.15,36015.04657142852,42136.088199999904,18780.22664583729,38371.310704225274,33327.01414285711
2018-03-14,46228.44199999988,14,2,11,3,1,2018,0,0,29059.539999999997,21965.91,42869.76199999988,29696.481428571424,42655.23453333324,9089.42710354984,38241.98055555548,33461.998428571394
