date,total_spending
2018-01-01,77103.28
2018-01-02,99601.47
2018-01-03,28836.12
2018-01-04,52272.13
2018-01-05,117374.98
2018-01-06,24714.74
2018-01-07,2693.69
2018-01-08,19897.489999999998
2018-01-09,20414.07
2018-01-10,54559.78
2018-01-11,71324.93
2018-01-12,66942.58
2018-01-13,6670.86
2018-01-14,93023.04999999999
2018-01-15,20203.809999999998
2018-01-16,9788.11
2018-01-17,7886.48
2018-01-18,9684.86
2018-01-19,96521.64
2018-01-20,89147.17
2018-01-21,82565.98
2018-01-22,77761.38
2018-01-23,7217.83
2018-01-24,45826.76
2018-01-25,4011.76
2018-01-26,60477.130000000005
2018-01-27,34817.520000000004
2018-01-28,70040.45
2018-01-29,36635.17
2018-01-30,24098.84
2018-01-31,25999.92
2018-02-01,33660.47
2018-02-02,177778.30000000002
2018-02-03,226945.1
2018-02-04,37489.399999999994
2018-02-05,34977.32
2018-02-06,32099.61
2018-02-07,25649.83
2018-02-08,17015.72
2018-02-09,15945.75
2018-02-10,30492.93
2018-02-11,13485.15
2018-02-12,61729.850000000006
2018-02-13,16295.720000000001
2018-02-14,63890.1
2018-02-15,58262.16
2018-02-16,53568.670000000006
2018-02-17,61409.409999999996
2018-02-18,21065.65
2018-02-19,19446.79
2018-02-20,8151.92
2018-02-21,83627.83
2018-02-22,17732.88
2018-02-23,49455.82
2018-02-24,151212.76
2018-02-25,70425.18
2018-02-26,86829.14
2018-02-27,87521.86
2018-02-28,86032.06
2018-03-01,64981.14
2018-03-02,242391.64
2018-03-03,35553.020000000004
2018-03-04,171183.81
2018-03-05,146770.22
2018-03-06,133015.06
2018-03-07,21965.91
2018-03-08,22908.62
2018-03-09,41626.340000000004
2018-03-10,19029.02
2018-03-11,40934.82
2018-03-12,32351.120000000003
2018-03-13,29059.539999999997
2018-03-14,68062.61
2018-03-15,49198.5
2018-03-16,72644.95
2018-03-17,66604.44
2018-03-18,60521.47000000001
2018-03-19,19225.559999999998
2018-03-20,7263.549999999999
2018-03-21,23855.69
2018-03-22,8305.64
2018-03-23,7032.15
2018-03-24,69661.17
2018-03-25,16856.94
