date,total_spending,day_of_week,month,day,week,quarter,year,is_weekend,is_month_end,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2018-01-31,25999.92,2,1,31,5,1,2018,0,1,24098.84,45826.76,77103.28,39415.375714285714,47070.46866666667
2018-02-01,33660.47,3,2,1,5,1,2018,0,0,25999.92,4011.76,99601.47,36582.97,45367.02333333333
2018-02-02,177778.30000000002,4,2,2,5,1,2018,0,0,33660.47,60477.130000000005,28836.12,40818.5,43168.99
2018-02-03,226945.1,5,2,3,5,1,2018,1,0,177778.30000000002,34817.520000000004,52272.13,57575.810000000005,48133.72933333333
2018-02-04,37489.399999999994,6,2,4,5,1,2018,1,0,226945.1,70040.45,117374.98,85022.60714285714,53956.16166666667
2018-02-05,34977.32,0,2,5,6,1,2018,0,0,37489.399999999994,36635.17,24714.74,80372.45714285715,51293.309
2018-02-06,32099.61,1,2,6,6,1,2018,0,0,34977.32,24098.84,2693.69,80135.62142857142,51635.395000000004
2018-02-07,25649.83,2,2,7,6,1,2018,0,0,32099.61,25999.92,19897.489999999998,81278.58857142857,52615.592333333334
2018-02-08,17015.72,3,2,8,6,1,2018,0,0,25649.83,33660.47,20414.07,81228.57571428572,52807.33700000001
2018-02-09,15945.75,4,2,9,6,1,2018,0,0,17015.72,177778.30000000002,54559.78,78850.75428571428,52694.058666666664
2018-02-10,30492.93,5,2,10,6,1,2018,1,0,15945.75,226945.1,71324.93,55731.81857142857,51406.924333333336
2018-02-11,13485.15,6,2,11,6,1,2018,1,0,30492.93,37489.399999999994,66942.58,27667.222857142857,50045.85766666666
2018-02-12,61729.850000000006,0,2,12,7,1,2018,0,0,13485.15,34977.32,6670.86,24238.044285714284,48263.943333333336
2018-02-13,16295.720000000001,1,2,13,7,1,2018,0,0,61729.850000000006,32099.61,93023.04999999999,28059.834285714285,50099.243
2018-02-14,63890.1,2,2,14,7,1,2018,0,0,16295.720000000001,25649.83,20203.809999999998,25802.135714285716,47541.66533333334
2018-02-15,58262.16,3,2,15,7,1,2018,0,0,63890.1,17015.72,9788.11,31265.03142857143,48997.875
2018-02-16,53568.670000000006,4,2,16,7,1,2018,0,0,58262.16,15945.75,7886.48,37157.38,50613.67666666666
2018-02-17,61409.409999999996,5,2,17,7,1,2018,1,0,53568.670000000006,30492.93,9684.86,42532.08285714286,52136.416333333334
2018-02-18,21065.65,6,2,18,7,1,2018,1,0,61409.409999999996,13485.15,96521.64,46948.72285714286,53860.568
2018-02-19,19446.79,0,2,19,8,1,2018,0,0,21065.65,61729.850000000006,89147.17,48031.65142857143,51345.36833333333
2018-02-20,8151.92,1,2,20,8,1,2018,0,0,19446.79,16295.720000000001,82565.98,41991.21428571428,49022.022333333334
2018-02-21,83627.83,2,2,21,8,1,2018,0,0,8151.92,63890.1,77761.38,40827.81428571429,46541.55366666667
2018-02-22,17732.88,3,2,22,8,1,2018,0,0,83627.83,58262.16,7217.83,43647.49,46737.10199999999
2018-02-23,49455.82,4,2,23,8,1,2018,0,0,17732.88,53568.670000000006,45826.76,37857.59285714286,47087.60366666667
2018-02-24,151212.76,5,2,24,8,1,2018,1,0,49455.82,61409.409999999996,4011.76,37270.04285714286,47208.57233333334
2018-02-25,70425.18,6,2,25,8,1,2018,1,0,151212.76,21065.65,60477.130000000005,50099.09285714286,52115.27233333334
2018-02-26,86829.14,0,2,26,9,1,2018,0,0,70425.18,19446.79,34817.520000000004,57150.45428571429,52446.873999999996
2018-02-27,87521.86,1,2,27,9,1,2018,0,0,86829.14,8151.92,70040.45,66776.50428571428,54180.594666666664
2018-02-28,86032.06,2,2,28,9,1,2018,0,1,87521.86,83627.83,36635.17,78115.06714285714,54763.308333333334
2018-03-01,64981.14,3,3,1,9,1,2018,0,0,86032.06,17732.88,24098.84,78458.52857142857,56409.871333333336
2018-03-02,242391.64,4,3,2,9,1,2018,0,0,64981.14,49455.82,25999.92,85208.28,57772.61466666667
2018-03-03,35553.020000000004,5,3,3,9,1,2018,1,0,242391.64,151212.76,33660.47,112770.54000000001,64985.672000000006
2018-03-04,171183.81,6,3,4,9,1,2018,1,0,35553.020000000004,70425.18,177778.30000000002,96247.71999999999,65048.757
2018-03-05,146770.22,0,3,5,10,1,2018,0,0,171183.81,86829.14,226945.1,110641.81000000001,64828.94066666667
2018-03-06,133015.06,1,3,6,10,1,2018,0,0,146770.22,87521.86,37489.399999999994,119204.82142857143,62156.44466666666
2018-03-07,21965.91,2,3,7,10,1,2018,0,0,133015.06,86032.06,34977.32,125703.85,65340.63333333333
2018-03-08,22908.62,3,3,8,10,1,2018,0,0,21965.91,64981.14,32099.61,116551.54285714286,64906.91966666666
2018-03-09,41626.340000000004,4,3,9,10,1,2018,0,0,22908.62,242391.64,25649.83,110541.18285714286,64600.55333333334
2018-03-10,19029.02,5,3,10,10,1,2018,1,0,41626.340000000004,35553.020000000004,17015.72,81860.42571428571,65133.10366666667
2018-03-11,40934.82,6,3,11,10,1,2018,1,0,19029.02,171183.81,15945.75,79499.8542857143,65200.21366666667
2018-03-12,32351.120000000003,0,3,12,11,1,2018,0,0,40934.82,146770.22,30492.93,60892.85571428571,66033.18266666666
2018-03-13,29059.539999999997,1,3,13,11,1,2018,0,0,32351.120000000003,133015.06,13485.15,44547.270000000004,66095.12233333333
2018-03-14,68062.61,2,3,14,11,1,2018,0,0,29059.539999999997,21965.91,61729.850000000006,29696.481428571427,66614.26866666667
2018-03-15,49198.5,3,3,15,11,1,2018,0,0,68062.61,22908.62,16295.720000000001,36281.724285714285,66825.36066666667
2018-03-16,72644.95,4,3,16,11,1,2018,0,0,49198.5,41626.340000000004,63890.1,40037.42142857143,67922.12
2018-03-17,66604.44,5,3,17,11,1,2018,1,0,72644.95,19029.02,58262.16,44468.65142857143,68213.94833333333
2018-03-18,60521.47000000001,6,3,18,11,1,2018,1,0,66604.44,40934.82,53568.670000000006,51265.14,68492.02433333333
2018-03-19,19225.559999999998,0,3,19,12,1,2018,0,0,60521.47000000001,32351.120000000003,61409.409999999996,54063.23285714286,68723.78433333333
2018-03-20,7263.549999999999,1,3,20,12,1,2018,0,0,19225.559999999998,29059.539999999997,21065.65,52188.15285714286,67317.656
2018-03-21,23855.69,2,3,21,12,1,2018,0,0,7263.549999999999,68062.61,19446.79,49074.44,66857.586
2018-03-22,8305.64,3,3,22,12,1,2018,0,0,23855.69,49198.5,8151.92,42759.16571428571,67004.54933333334
2018-03-23,7032.15,4,3,23,12,1,2018,0,0,8305.64,72644.95,83627.83,36917.32857142857,67009.67333333332
2018-03-24,69661.17,5,3,24,12,1,2018,1,0,7032.15,66604.44,17732.88,27544.071428571428,64456.484000000004
2018-03-25,16856.94,6,3,25,12,1,2018,1,0,69661.17,60521.47000000001,49455.82,27980.74714285714,66187.427
2018-03-26,20200.64,0,3,26,13,1,2018,0,0,16856.94,19225.559999999998,151212.76,21742.95714285714,65100.797666666665
2018-03-27,75693.07,1,3,27,13,1,2018,0,0,20200.64,7263.549999999999,70425.18,21882.254285714287,60733.72699999999
2018-03-28,53648.81,2,3,28,13,1,2018,0,0,75693.07,23855.69,86829.14,31657.899999999998,60909.323333333334
2018-03-29,102562.33,3,3,29,13,1,2018,0,0,53648.81,8305.64,87521.86,35914.06,59803.312333333335
2018-03-30,100173.72,4,3,30,13,1,2018,0,0,102562.33,7032.15,86032.06,49379.30142857142,60304.66133333334
2018-03-31,107359.28,5,3,31,13,1,2018,1,1,100173.72,69661.17,64981.14,62685.24,60776.05
2018-04-01,30894.64,6,4,1,13,2,2018,1,0,107359.28,16856.94,242391.64,68070.68428571428,62188.65466666667
2018-04-02,75090.87000000001,0,4,2,14,2,2018,0,0,30894.64,20200.64,35553.020000000004,70076.06999999999,55138.75466666666
2018-04-03,284168.46,1,4,3,14,2,2018,0,0,75090.87000000001,75693.07,171183.81,77917.53142857144,56456.683000000005
2018-04-04,213252.93000000002,2,4,4,14,2,2018,0,0,284168.46,53648.81,146770.22,107699.73,60222.838
2018-04-05,24742.35,3,4,5,14,2,2018,0,0,213252.93000000002,102562.33,133015.06,130500.31857142858,62438.92833333334
2018-04-06,16507.25,4,4,6,14,2,2018,0,0,24742.35,100173.72,21965.91,119383.17857142857,58829.838
2018-04-07,21804.86,5,4,7,14,2,2018,1,0,16507.25,107359.28,22908.62,107430.82571428572,58647.88266666667
2018-04-08,71718.12999999999,6,4,8,14,2,2018,1,0,21804.86,30894.64,41626.340000000004,95208.7657142857,58611.09066666667
2018-04-09,12645.07,0,4,9,15,2,2018,0,0,71718.12999999999,75090.87000000001,19029.02,101040.69285714286,59614.15033333333
2018-04-10,64209.80999999999,1,4,10,15,2,2018,0,0,12645.07,284168.46,40934.82,92119.86428571427,59401.352
2018-04-11,87290.87,2,4,11,15,2,2018,0,0,64209.80999999999,213252.93000000002,32351.120000000003,60697.200000000004,60177.185000000005
2018-04-12,72181.77,3,4,12,15,2,2018,0,0,87290.87,24742.35,29059.539999999997,42702.619999999995,62008.51
2018-04-13,66098.3,4,4,13,15,2,2018,0,0,72181.77,16507.25,68062.61,49479.68,63445.91766666667
2018-04-14,7651.43,5,4,14,15,2,2018,1,0,66098.3,21804.86,49198.5,56564.11571428571,63380.44066666668
2018-04-15,20435.96,6,4,15,15,2,2018,1,0,7651.43,71718.12999999999,72644.95,54542.197142857134,61995.53833333334
2018-04-16,17538.34,0,4,16,16,2,2018,0,0,20435.96,12645.07,66604.44,47216.17285714286,60255.23866666667
2018-04-17,18589.87,1,4,17,16,2,2018,0,0,17538.34,64209.80999999999,60521.47000000001,47915.211428571434,58619.702000000005
2018-04-18,23218.600000000002,2,4,18,16,2,2018,0,0,18589.87,87290.87,19225.559999999998,41398.077142857146,57221.981999999996
2018-04-19,57722.92,3,4,19,16,2,2018,0,0,23218.600000000002,72181.77,7263.549999999999,32244.895714285718,57355.083333333336
2018-04-20,26746.690000000002,4,4,20,16,2,2018,0,0,57722.92,66098.3,23855.69,30179.34571428571,59037.062333333335
2018-04-21,31015.35,5,4,21,16,2,2018,1,0,26746.690000000002,7651.43,8305.64,24557.687142857143,59133.429
2018-04-22,51762.340000000004,6,4,22,16,2,2018,1,0,31015.35,20435.96,7032.15,27895.389999999996,59890.41933333334
2018-04-23,29354.739999999998,0,4,23,17,2,2018,0,0,51762.340000000004,17538.34,69661.17,32370.58714285714,61381.42566666668
2018-04-24,14869.85,1,4,24,17,2,2018,0,0,29354.739999999998,18589.87,16856.94,34058.64428571429,60037.878000000004
2018-04-25,15125.350000000002,2,4,25,17,2,2018,0,0,14869.85,23218.600000000002,20200.64,33527.21285714286,59971.64166666667
2018-04-26,106545.8,3,4,26,17,2,2018,0,0,15125.350000000002,57722.92,75693.07,32371.034285714286,59802.46533333334
2018-04-27,123505.04000000001,4,4,27,17,2,2018,0,0,106545.8,26746.690000000002,53648.81,39345.73142857143,60830.88966666667
2018-04-28,65696.39,5,4,28,17,2,2018,1,0,123505.04000000001,31015.35,102562.33,53168.35285714286,63159.430666666674
2018-04-29,111680.42,6,4,29,17,2,2018,1,0,65696.39,51762.340000000004,100173.72,58122.787142857145,61930.566
2018-04-30,72639.27,0,4,30,18,2,2018,0,1,111680.42,29354.739999999998,107359.28,66682.51285714286,62314.12266666666
2018-05-01,205259.84,1,5,1,18,2,2018,0,0,72639.27,14869.85,30894.64,72866.01714285715,61156.789
2018-05-02,118613.01000000001,2,5,2,18,2,2018,0,0,205259.84,15125.350000000002,75090.87000000001,100064.58714285714,66968.96233333334
2018-05-03,80263.43,3,5,3,18,2,2018,0,0,118613.01000000001,106545.8,284168.46,114848.53857142858,68419.70033333333
2018-05-04,52470.77,4,5,4,18,2,2018,0,0,80263.43,123505.04000000001,213252.93000000002,111093.91428571427,61622.866
2018-05-05,60780.4,5,5,5,18,2,2018,1,0,52470.77,65696.39,24742.35,100946.16142857142,56263.460666666666
2018-05-06,77971.33,6,5,6,18,2,2018,1,0,60780.4,111680.42,16507.25,100243.87714285715,57464.72900000001
2018-05-07,47393.42,0,5,7,19,2,2018,0,0,77971.33,72639.27,21804.86,95428.29285714286,59513.53166666666
2018-05-08,77476.97,1,5,8,19,2,2018,0,0,47393.42,205259.84,71718.12999999999,91821.74285714285,60366.48366666667
2018-05-09,69389.34,2,5,9,19,2,2018,0,0,77476.97,118613.01000000001,12645.07,73567.04714285715,60558.445
2018-05-10,10244.210000000001,3,5,10,19,2,2018,0,0,69389.34,80263.43,64209.80999999999,66535.09428571428,62449.920666666665
2018-05-11,82048.22,4,5,11,19,2,2018,0,0,10244.210000000001,52470.77,87290.87,56532.34857142857,60651.06733333333
2018-05-12,28327.35,5,5,12,19,2,2018,1,0,82048.22,60780.4,72181.77,60757.69857142858,60476.312333333335
2018-05-13,21070.309999999998,6,5,13,19,2,2018,1,0,28327.35,77971.33,66098.3,56121.548571428575,59014.49833333333
2018-05-14,27643.829999999998,0,5,14,20,2,2018,0,0,21070.309999999998,47393.42,7651.43,47992.83142857143,57513.56533333333
2018-05-15,56430.44,1,5,15,20,2,2018,0,0,27643.829999999998,77476.97,20435.96,45171.461428571434,58179.97866666667
2018-05-16,54275.42,2,5,16,20,2,2018,0,0,56430.44,69389.34,17538.34,42164.81428571428,59379.79466666667
2018-05-17,46604.17,3,5,17,20,2,2018,0,0,54275.42,10244.210000000001,18589.87,40005.68285714286,60604.363999999994
2018-05-18,61701.64000000001,4,5,18,20,2,2018,0,0,46604.17,82048.22,23218.600000000002,45199.962857142855,61538.174000000006
2018-05-19,29187.5,5,5,19,20,2,2018,1,0,61701.64000000001,28327.35,57722.92,42293.30857142857,62820.942
2018-05-20,4747.52,6,5,20,20,2,2018,1,0,29187.5,21070.309999999998,26746.690000000002,42416.18714285714,61869.761333333336
2018-05-21,67591.18000000001,0,5,21,21,2,2018,0,0,4747.52,27643.829999999998,31015.35,40084.36,61136.45566666667
2018-05-22,39241.13,1,5,22,21,2,2018,0,0,67591.18000000001,56430.44,51762.340000000004,45791.124285714286,62355.65
2018-05-23,115790.33,2,5,23,21,2,2018,0,0,39241.13,54275.42,29354.739999999998,43335.508571428574,61938.276333333335
2018-05-24,26908.719999999998,3,5,24,21,2,2018,0,0,115790.33,46604.17,14869.85,52123.35285714286,64819.462666666666
2018-05-25,56978.520000000004,4,5,25,21,2,2018,0,0,26908.719999999998,61701.64000000001,15125.350000000002,49309.717142857146,65220.75833333333
2018-05-26,17624.25,5,5,26,21,2,2018,1,0,56978.520000000004,29187.5,106545.8,48634.985714285714,66615.864
2018-05-27,46420.58,6,5,27,21,2,2018,1,0,17624.25,4747.52,123505.04000000001,46983.09285714286,63651.81233333333
2018-05-28,94639.26,0,5,28,22,2,2018,0,0,46420.58,67591.18000000001,65696.39,52936.387142857144,61082.33033333333
2018-05-29,60523.69,1,5,29,22,2,2018,0,0,94639.26,39241.13,111680.42,56800.39857142857,62047.09266666667
2018-05-30,98305.28,2,5,30,22,2,2018,0,0,60523.69,115790.33,72639.27,59840.76428571429,60341.86833333333
2018-05-31,48959.56,3,5,31,22,2,2018,0,1,98305.28,26908.719999999998,205259.84,57342.9,61197.402
2018-06-01,23983.559999999998,4,6,1,22,2,2018,0,0,48959.56,56978.520000000004,118613.01000000001,60493.020000000004,55987.39266666667
2018-06-02,280895.75,5,6,2,22,2,2018,1,0,23983.559999999998,17624.25,80263.43,55779.45428571429,52833.07766666667
2018-06-03,14135.27,6,6,3,22,2,2018,1,0,280895.75,46420.58,52470.77,93389.66857142856,59520.82166666667
2018-06-04,101675.56999999999,0,6,4,23,2,2018,0,0,14135.27,94639.26,60780.4,88777.48142857141,58242.97166666667
2018-06-05,25571.480000000003,1,6,5,23,2,2018,0,0,101675.56999999999,60523.69,77971.33,89782.66857142858,59606.14399999999
2018-06-06,38774.74,2,6,6,23,2,2018,0,0,25571.480000000003,98305.28,47393.42,84789.49571428572,57859.48233333333
2018-06-07,30240.21,3,6,7,23,2,2018,0,0,38774.74,48959.56,77476.97,76285.13285714285,57572.193
2018-06-08,74486.04,4,6,8,23,2,2018,0,0,30240.21,23983.559999999998,69389.34,73610.94,55997.634333333335
2018-06-09,71579.22,5,6,9,23,2,2018,1,0,74486.04,280895.75,10244.210000000001,80825.58,56167.524333333335
2018-06-10,74476.45999999999,6,6,10,23,2,2018,1,0,71579.22,14135.27,82048.22,50923.21857142857,58212.02466666667
2018-06-11,68726.94,0,6,11,24,2,2018,0,0,74476.45999999999,101675.56999999999,28327.35,59543.388571428564,57959.632666666665
2018-06-12,51691.29,1,6,12,24,2,2018,0,0,68726.94,25571.480000000003,21070.309999999998,54836.44142857143,59306.28566666667
2018-06-13,18258.71,2,6,13,24,2,2018,0,0,51691.29,38774.74,27643.829999999998,58567.84285714285,60326.985
2018-06-14,3166.1,3,6,14,24,2,2018,0,0,18258.71,30240.21,56430.44,55636.98142857143,60014.147666666664
2018-06-15,92118.78,4,6,15,24,2,2018,0,0,3166.1,74486.04,54275.42,51769.25142857142,58238.66966666667
2018-06-16,17933.71,5,6,16,24,2,2018,1,0,92118.78,71579.22,46604.17,54288.21428571428,59500.115000000005
2018-06-17,53602.119999999995,6,6,17,24,2,2018,1,0,17933.71,74476.45999999999,61701.64000000001,46624.57000000001,58544.433000000005
2018-06-18,28897.5,0,6,18,25,2,2018,0,0,53602.119999999995,68726.94,29187.5,43642.52142857143,58274.449
2018-06-19,41919.78,1,6,19,25,2,2018,0,0,28897.5,51691.29,4747.52,37952.601428571434,58264.78233333333
2018-06-20,95997.75,2,6,20,25,2,2018,0,0,41919.78,18258.71,67591.18000000001,36556.671428571426,59503.85766666666
2018-06-21,8170.71,3,6,21,25,2,2018,0,0,95997.75,3166.1,39241.13,47662.24857142857,60450.74333333333
2018-06-22,58804.020000000004,4,6,22,25,2,2018,0,0,8170.71,92118.78,115790.33,48377.192857142865,59415.062666666665
2018-06-23,74513.53,5,6,23,25,2,2018,1,0,58804.020000000004,17933.71,26908.719999999998,43617.94142857142,57515.519
2018-06-24,93235.83,6,6,24,25,2,2018,1,0,74513.53,53602.119999999995,56978.520000000004,51700.77285714285,59102.346000000005
2018-06-25,55335.43,0,6,25,26,2,2018,0,0,93235.83,28897.5,17624.25,57362.73142857143,60310.923
2018-06-26,66016.0,1,6,26,26,2,2018,0,0,55335.43,41919.78,46420.58,61139.57857142857,61567.96233333334
2018-06-27,41868.05,2,6,27,26,2,2018,0,0,66016.0,95997.75,94639.26,64581.89571428572,62221.143000000004
2018-06-28,53962.82,3,6,28,26,2,2018,0,0,41868.05,8170.71,60523.69,56849.08142857143,60462.102666666666
2018-06-29,57745.08,4,6,29,26,2,2018,0,0,53962.82,58804.020000000004,98305.28,63390.811428571425,60243.40700000001
2018-06-30,39548.94,5,6,30,26,2,2018,1,1,57745.08,74513.53,48959.56,63239.53428571429,58891.40033333333
2018-07-01,55118.990000000005,6,7,1,26,3,2018,1,0,39548.94,93235.83,23983.559999999998,58244.59285714286,58577.712999999996
2018-07-02,30379.18,0,7,2,27,3,2018,0,0,55118.990000000005,55335.43,280895.75,52799.33,59615.56066666667
2018-07-03,44929.63,1,7,3,27,3,2018,0,0,30379.18,66016.0,14135.27,49234.15142857143,51265.00833333333
2018-07-04,308985.30000000005,2,7,4,27,3,2018,0,0,44929.63,41868.05,101675.56999999999,46221.81285714286,52291.486999999994
2018-07-05,3388.6099999999997,3,7,5,27,3,2018,0,0,308985.30000000005,53962.82,25571.480000000003,84381.42000000001,59201.81133333334
2018-07-06,67680.68,4,7,6,27,3,2018,0,0,3388.6099999999997,57745.08,38774.74,77156.53285714285,58462.38233333334
2018-07-07,10595.55,5,7,7,27,3,2018,1,0,67680.68,39548.94,30240.21,78575.90428571429,59425.91366666667
2018-07-08,121503.05,6,7,8,27,3,2018,1,0,10595.55,55118.990000000005,74486.04,74439.70571428571,58771.09166666667
2018-07-09,9383.76,0,7,9,28,3,2018,0,0,121503.05,30379.18,71579.22,83923.14285714286,60338.325333333334
2018-07-10,13646.64,1,7,10,28,3,2018,0,0,9383.76,44929.63,74476.45999999999,80923.79714285713,58265.14333333333
2018-07-11,23869.7,2,7,11,28,3,2018,0,0,13646.64,308985.30000000005,68726.94,76454.79857142859,56237.48266666666
2018-07-12,20552.649999999998,3,7,12,28,3,2018,0,0,23869.7,3388.6099999999997,51691.29,35723.99857142857,54742.24133333333
2018-07-13,134785.63,4,7,13,28,3,2018,0,0,20552.649999999998,67680.68,18258.71,38176.00428571429,53704.28666666667
2018-07-14,43626.14,5,7,14,28,3,2018,1,0,134785.63,10595.55,3166.1,47762.42571428571,57588.51733333334
2018-07-15,104514.06999999999,6,7,15,28,3,2018,1,0,43626.14,121503.05,92118.78,52481.08142857143,58937.185333333335
2018-07-16,8837.4,0,7,16,29,3,2018,0,0,104514.06999999999,9383.76,17933.71,50054.08428571428,59350.36166666667
2018-07-17,22950.79,1,7,17,29,3,2018,0,0,8837.4,13646.64,53602.119999999995,49976.032857142854,59047.151333333335
2018-07-18,15316.0,2,7,18,29,3,2018,0,0,22950.79,23869.7,28897.5,51305.19714285714,58025.44033333333
2018-07-19,63233.14,3,7,19,29,3,2018,0,0,15316.0,20552.649999999998,41919.78,50083.24,57572.723666666665
2018-07-20,58882.3,4,7,20,29,3,2018,0,0,63233.14,134785.63,95997.75,56180.45285714285,58283.169
2018-07-21,16577.710000000003,5,7,21,29,3,2018,1,0,58882.3,43626.14,8170.71,45337.119999999995,57045.98733333334
2018-07-22,5116.7699999999995,6,7,22,29,3,2018,1,0,16577.710000000003,104514.06999999999,58804.020000000004,41473.05857142857,57326.22066666667
2018-07-23,22788.89,0,7,23,30,3,2018,0,0,5116.7699999999995,8837.4,74513.53,27273.44428571429,55536.64566666667
2018-07-24,77167.34,1,7,24,30,3,2018,0,0,22788.89,22950.79,93235.83,29266.514285714286,53812.491
2018-07-25,25072.260000000002,2,7,25,30,3,2018,0,0,77167.34,15316.0,55335.43,37011.735714285714,53276.87466666666
2018-07-26,139235.87,3,7,26,30,3,2018,0,0,25072.260000000002,63233.14,66016.0,38405.48714285714,52268.102333333336
2018-07-27,64759.630000000005,4,7,27,30,3,2018,0,0,139235.87,58882.3,41868.05,49263.020000000004,54708.76466666666
2018-07-28,31096.65,5,7,28,30,3,2018,1,0,64759.630000000005,16577.710000000003,53962.82,50102.638571428564,55471.81733333333
2018-07-29,27283.100000000002,6,7,29,30,3,2018,1,0,31096.65,5116.7699999999995,57745.08,52176.77285714285,54709.611666666664
2018-07-30,60092.49,0,7,30,31,3,2018,0,0,27283.100000000002,22788.89,39548.94,55343.391428571435,53694.21233333334
2018-07-31,74422.38,1,7,31,31,3,2018,0,1,60092.49,77167.34,55118.990000000005,60672.47714285715,54378.99733333334
2018-08-01,11083.11,2,8,1,31,3,2018,0,0,74422.38,25072.260000000002,30379.18,60280.340000000004,55022.44366666666
2018-08-02,83127.69,3,8,2,31,3,2018,0,0,11083.11,139235.87,44929.63,58281.89000000001,54379.24133333333
2018-08-03,82587.73999999999,4,8,3,31,3,2018,0,0,83127.69,64759.630000000005,308985.30000000005,50266.43571428571,55652.51
2018-08-04,18812.54,5,8,4,31,3,2018,1,0,82587.73999999999,31096.65,3388.6099999999997,52813.30857142858,48105.924666666666
2018-08-05,207792.94,6,8,5,31,3,2018,1,0,18812.54,27283.100000000002,67680.68,51058.43571428571,48620.05566666667
2018-08-06,100574.26,0,8,6,32,3,2018,0,0,207792.94,60092.49,10595.55,76845.55571428571,53290.46433333333
2018-08-07,5652.95,1,8,7,32,3,2018,0,0,100574.26,74422.38,121503.05,82628.66571428571,56289.75466666666
2018-08-08,20122.43,2,8,8,32,3,2018,0,0,5652.95,11083.11,9383.76,72804.46142857142,52428.08466666667
2018-08-09,30893.0,3,8,9,32,3,2018,0,0,20122.43,83127.69,13646.64,74095.79285714285,52786.04033333333
2018-08-10,79948.37,4,8,10,32,3,2018,0,0,30893.0,82587.73999999999,23869.7,66633.69428571429,53360.919
2018-08-11,11374.52,5,8,11,32,3,2018,1,0,79948.37,18812.54,20552.649999999998,66256.64142857143,55230.208
2018-08-12,4347.75,6,8,12,32,3,2018,1,0,11374.52,207792.94,134785.63,65194.067142857144,54924.27033333333
2018-08-13,73658.38,0,8,13,33,3,2018,0,0,4347.75,100574.26,43626.14,36130.46857142857,50576.341
2018-08-14,32205.37,1,8,14,33,3,2018,0,0,73658.38,5652.95,104514.06999999999,32285.34285714286,51577.41566666667
2018-08-15,49617.16,2,8,15,33,3,2018,0,0,32205.37,20122.43,8837.4,36078.54571428571,49167.12566666667
2018-08-16,75863.27,3,8,16,33,3,2018,0,0,49617.16,30893.0,22950.79,40292.07857142858,50526.451
2018-08-17,108620.01000000001,4,8,17,33,3,2018,0,0,75863.27,79948.37,15316.0,46716.40285714286,52290.20033333334
2018-08-18,11808.939999999999,5,8,18,33,3,2018,1,0,108620.01000000001,11374.52,63233.14,50812.351428571434,55400.33400000001
2018-08-19,32368.93,6,8,19,33,3,2018,1,0,11808.939999999999,4347.75,58882.3,50874.41142857143,53686.194
2018-08-20,14775.74,0,8,20,34,3,2018,0,0,32368.93,73658.38,16577.710000000003,54877.43714285714,52802.415
2018-08-21,41423.35,1,8,21,34,3,2018,0,0,14775.74,32205.37,5116.7699999999995,46465.631428571425,52742.34933333333
2018-08-22,36613.95,2,8,22,34,3,2018,0,0,41423.35,49617.16,22788.89,47782.485714285714,53952.568666666666
2018-08-23,5264.360000000001,3,8,23,34,3,2018,0,0,36613.95,75863.27,77167.34,45924.88428571429,54413.404
2018-08-24,3510.55,4,8,24,34,3,2018,0,0,5264.360000000001,108620.01000000001,25072.260000000002,35839.32571428572,52016.638
2018-08-25,5949.5199999999995,5,8,25,34,3,2018,1,0,3510.55,11808.939999999999,139235.87,20823.68857142857,51297.914333333334
2018-08-26,47602.06,6,8,26,34,3,2018,1,0,5949.5199999999995,32368.93,64759.630000000005,19986.628571428573,46855.036
2018-08-27,23707.37,0,8,27,35,3,2018,0,0,47602.06,14775.74,31096.65,22162.79,46283.117
2018-08-28,52666.22,1,8,28,35,3,2018,0,0,23707.37,41423.35,27283.100000000002,23438.737142857142,46036.80766666667
2018-08-29,40027.3,2,8,29,35,3,2018,0,0,52666.22,36613.95,60092.49,25044.86142857143,46882.91166666667
