transaction_date,amount
2018-01-31,1438113.98
2018-02-28,1642197.38
2018-03-31,1930640.78
2018-04-30,1834703.67
2018-05-31,1884881.6199999999
2018-06-30,1757331.3900000001
2018-07-31,1705792.3
2018-08-31,1499952.4
2018-09-30,1526738.93
2018-10-31,1279155.81
2018-11-30,1558684.63
2018-12-31,1900490.53
2019-01-31,1729567.52
2019-02-28,1471908.52
2019-03-31,1617860.54
2019-04-30,1676585.73
2019-05-31,1234070.41
2019-06-30,1574684.05
2019-07-31,1593472.78
2019-08-31,1734785.03
2019-09-30,1862013.13
2019-10-31,271769.09
2019-11-30,202331.05
