transaction_date,amount,day,week,month,weekend,month_end,salary_week,festival_season
2018-01-01,4361.84,1,1,1,0,0,1,0
2018-01-01,1226.03,1,1,1,0,0,1,0
2018-01-01,523.73,1,1,1,0,0,1,0
2018-01-01,1290.29,1,1,1,0,0,1,0
2018-01-02,44800.94,2,1,1,0,0,1,0
2018-01-02,2761.36,2,1,1,0,0,1,0
2018-01-02,268.49,2,1,1,0,0,1,0
2018-01-02,306.84,2,1,1,0,0,1,0
2018-01-02,323.91,2,1,1,0,0,1,0
2018-01-02,491.31,2,1,1,0,0,1,0
2018-01-02,144.85,2,1,1,0,0,1,0
2018-01-03,2801.01,3,1,1,0,0,0,0
2018-01-03,5154.86,3,1,1,0,0,0,0
2018-01-04,524.73,4,1,1,0,0,0,0
2018-01-04,332.16,4,1,1,0,0,0,0
2018-01-04,2855.13,4,1,1,0,0,0,0
2018-01-05,478.83,5,1,1,0,0,0,0
2018-01-05,42338.57,5,1,1,0,0,0,0
2018-01-05,3363.4,5,1,1,0,0,0,0
2018-01-05,154.29,5,1,1,0,0,0,0
2018-01-06,4209.68,6,1,1,1,0,0,0
2018-01-07,153.74,7,1,1,1,0,0,0
2018-01-07,376.36,7,1,1,1,0,0,0
2018-01-08,763.99,8,2,1,0,0,0,0
2018-01-09,1614.1,9,2,1,0,0,0,0
2018-01-09,2943.71,9,2,1,0,0,0,0
2018-01-10,14999.79,10,2,1,0,0,0,0
2018-01-10,1269.56,10,2,1,0,0,0,0
2018-01-10,2862.19,10,2,1,0,0,0,0
2018-01-10,545.07,10,2,1,0,0,0,0
2018-01-11,4310.62,11,2,1,0,0,0,0
2018-01-11,766.94,11,2,1,0,0,0,0
2018-01-12,46314.09,12,2,1,0,0,0,0
2018-01-12,2959.23,12,2,1,0,0,0,0
2018-01-13,214.83,13,2,1,1,0,0,0
2018-01-13,138.51,13,2,1,1,0,0,0
2018-01-13,320.8,13,2,1,1,0,0,0
2018-01-14,4362.49,14,2,1,1,0,0,0
2018-01-15,14256.14,15,3,1,0,0,0,0
2018-01-16,1365.12,16,3,1,0,0,0,0
2018-01-17,630.2,17,3,1,0,0,0,0
2018-01-17,740.72,17,3,1,0,0,0,0
2018-01-17,152.69,17,3,1,0,0,0,0
2018-01-18,719.03,18,3,1,0,0,0,0
2018-01-19,4425.22,19,3,1,0,0,0,0
2018-01-19,43239.03,19,3,1,0,0,0,0
2018-01-19,486.59,19,3,1,0,0,0,0
2018-01-20,15776.17,20,3,1,1,0,0,0
2018-01-20,46734.63,20,3,1,1,0,0,0
2018-01-20,517.81,20,3,1,1,0,0,0
2018-01-20,162.04,20,3,1,1,0,0,0
2018-01-20,520.99,20,3,1,1,0,0,0
2018-01-21,716.67,21,3,1,1,0,0,0
2018-01-21,506.48,21,3,1,1,0,0,0
2018-01-21,530.22,21,3,1,1,0,0,0
2018-01-22,327.31,22,4,1,0,0,0,0
2018-01-22,675.94,22,4,1,0,0,0,0
2018-01-22,339.7,22,4,1,0,0,0,0
2018-01-23,624.65,23,4,1,0,0,0,0
2018-01-23,324.49,23,4,1,0,0,0,0
2018-01-23,649.89,23,4,1,0,0,0,0
2018-01-24,590.54,24,4,1,0,0,0,0
2018-01-24,1295.04,24,4,1,0,0,0,0
2018-01-24,1285.81,24,4,1,0,0,0,0
2018-01-25,525.95,25,4,1,0,0,1,0
2018-01-26,5504.99,26,4,1,0,0,1,0
2018-01-26,313.18,26,4,1,0,0,1,0
2018-01-27,1538.01,27,4,1,1,0,1,0
2018-01-28,2846.64,28,4,1,1,0,1,0
2018-01-28,383.34,28,4,1,1,0,1,0
2018-01-29,4438.24,29,5,1,0,0,1,0
2018-01-29,646.11,29,5,1,0,0,1,0
2018-01-29,495.96,29,5,1,0,0,1,0
2018-01-29,1522.08,29,5,1,0,0,1,0
2018-01-29,338.88,29,5,1,0,0,1,0
2018-01-29,408.98,29,5,1,0,0,1,0
2018-01-29,674.01,29,5,1,0,0,1,0
2018-01-29,504.17,29,5,1,0,0,1,0
2018-01-29,1327.84,29,5,1,0,0,1,0
2018-01-29,297.72,29,5,1,0,0,1,0
2018-01-30,645.12,30,5,1,0,0,1,0
2018-01-31,2794.01,31,5,1,0,1,1,0
2018-01-31,479.36,31,5,1,0,1,1,0
2018-02-01,5361.8,1,5,2,0,0,1,0
2018-02-01,1944.21,1,5,2,0,0,1,0
2018-02-01,895.88,1,5,2,0,0,1,0
2018-02-01,647.96,1,5,2,0,0,1,0
2018-02-02,46027.55,2,5,2,0,0,1,0
