merchant,amount,category
Credit Card Bill Payment,4361.84,Bills
Zepto,1226.03,Groceries
Ace Hardware India,523.73,Miscellaneous
Zepto,1290.29,Groceries
House Rent Payment,44800.94,Rent
Credit Card Bill Payment,2761.36,Bills
Swiggy,268.49,Food
McDonald's India,306.84,Food
BookMyShow,323.91,Entertainment
Ajio,491.31,Shopping
Cafe Coffee Day,144.85,Food
Credit Card Bill Payment,2801.01,Bills
BEST,5154.86,Bills
Ace Hardware India,524.73,Miscellaneous
Cafe Coffee Day,332.16,Food
HPCL,2855.13,Fuel
Airtel,478.83,Bills
House Rent Payment,42338.57,Rent
Indian Oil,3363.4,Fuel
Cafe Coffee Day,154.29,Food
Credit Card Bill Payment,4209.68,Bills
Spotify,153.74,Subscription
McDonald's India,376.36,Food
Bharat Gas,763.99,Bills
Myntra,1614.1,Shopping
HPCL,2943.71,Fuel
Credit Card Bill Payment,14999.79,Bills
Nykaa,1269.56,Shopping
Credit Card Bill Payment,2862.19,Bills
Ajio,545.07,Shopping
Credit Card Bill Payment,4310.62,Bills
Bharat Gas,766.94,Bills
Employer Salary Credit,46314.09,Salary
BPCL,2959.23,Fuel
Municipal Water Department,214.83,Bills
Chaayos,138.51,Food
EatClub,320.8,Food
Credit Card Bill Payment,4362.49,Bills
Credit Card Bill Payment,14256.14,Bills
Blinkit,1365.12,Groceries
BSNL,630.2,Bills
Bharat Gas,740.72,Bills
Spotify,152.69,Subscription
Bharat Gas,719.03,Bills
Credit Card Bill Payment,4425.22,Bills
Employer Salary Credit,43239.03,Salary
Airtel,486.59,Bills
Credit Card Bill Payment,15776.17,Bills
House Rent Payment,46734.63,Rent
Airtel,517.81,Bills
Spotify,162.04,Subscription
Ace Hardware India,520.99,Miscellaneous
HP Gas,716.67,Bills
Home Depot India,506.48,Miscellaneous
Local Hardware Store,530.22,Miscellaneous
Domino's India,327.31,Food
Burger King,675.94,Food
Burger King,339.7,Food
Cafe Coffee Day,624.65,Food
EatClub,324.49,Food
Cafe Coffee Day,649.89,Food
Airtel,590.54,Bills
Blinkit,1295.04,Groceries
BigBasket,1285.81,Groceries
Ace Hardware India,525.95,Miscellaneous
Adani Electricity,5504.99,Bills
Amazon Prime,313.18,Entertainment
Amazon India,1538.01,Shopping
Indian Oil,2846.64,Fuel
Faasos,383.34,Food
Credit Card Bill Payment,4438.24,Bills
BSNL,646.11,Bills
Flipkart,495.96,Shopping
Amazon India,1522.08,Shopping
McDonald's India,338.88,Food
Faasos,408.98,Food
Domino's India,674.01,Food
Local Hardware Store,504.17,Miscellaneous
Myntra,1327.84,Shopping
Amazon Prime,297.72,Entertainment
Zomato,645.12,Food
Credit Card Bill Payment,2794.01,Bills
Ace Hardware India,479.36,Miscellaneous
Adani Electricity,5361.8,Bills
Credit Card Bill Payment,1944.21,Bills
BigBasket,895.88,Groceries
Jio,647.96,Bills
Employer Salary Credit,46027.55,Salary
Adani Electricity,4954.67,Bills
Swiggy,213.06,Food
Jio,626.7,Bills
Credit Card Bill Payment,1740.69,Bills
Barbeque Nation,205.29,Food
Starbucks India,169.79,Food
House Rent Payment,46992.92,Rent
Starbucks India,168.54,Food
Local Wine & Beer Shop,940.6,Food
Nature's Basket,950.12,Groceries
Credit Card Bill Payment,5742.74,Bills
Credit Card Bill Payment,1804.15,Bills
Netflix,311.82,Entertainment
Reliance Fresh,1148.99,Groceries
Starbucks India,165.66,Food
Credit Card Bill Payment,1818.08,Bills
Airtel,616.18,Bills
Faasos,208.37,Food
Burger King,178.25,Food
Bharat Gas,1138.47,Bills
Jio Fiber,1260.98,Bills
Myntra,518.04,Shopping
Local Barbershop,1501.5,Miscellaneous
Indian Oil,3640.36,Fuel
Credit Card Bill Payment,1804.35,Bills
Tata Power,5319.18,Bills
Domino's India,330.9,Food
Local Wine & Beer Shop,979.73,Food
Credit Card Bill Payment,1784.99,Bills
Spotify,156.6,Subscription
EatClub,314.87,Food
Netflix,301.82,Entertainment
Municipal Water Department,226.88,Bills
Credit Card Bill Payment,1950.44,Bills
Faasos,621.07,Food
BEST,5087.95,Bills
Amazon India,506.73,Shopping
EatClub,994.63,Food
Cafe Coffee Day,315.98,Food
Domino's India,186.32,Food
Swiggy,303.22,Food
The Beer Cafe,881.02,Food
Employer Salary Credit,47492.08,Salary
Barbeque Nation,195.76,Food
Lakme Salon,1448.66,Miscellaneous
Credit Card Bill Payment,1837.5,Bills
HPCL,3443.57,Fuel
House Rent Payment,46175.24,Rent
Blinkit,921.26,Groceries
BigBasket,949.38,Groceries
Third Wave Coffee,118.22,Food
Credit Card Bill Payment,1798.21,Bills
Credit Card Bill Payment,1867.33,Bills
Credit Card Bill Payment,1911.32,Bills
Indian Oil,2958.98,Fuel
Zomato,800.13,Food
Credit Card Bill Payment,1933.82,Bills
Credit Card Bill Payment,1912.07,Bills
Credit Card Bill Payment,1854.11,Bills
Bharat Gas,1185.37,Bills
Naturals Salon,1580.72,Miscellaneous
Cafe Coffee Day,196.41,Food
Airtel,1403.43,Bills
Airtel,1254.24,Bills
Indian Oil,3175.63,Fuel
Domino's India,184.23,Food
House Rent Payment,43912.33,Rent
Spotify,153.2,Subscription
Credit Card Bill Payment,1870.76,Bills
Cafe Coffee Day,324.62,Food
Credit Card Bill Payment,1900.74,Bills
Burger King,177.5,Food
Tata Power,5404.62,Bills
Zomato,960.06,Food
Chaayos,120.79,Food
Credit Card Bill Payment,1921.76,Bills
HPCL,3638.47,Fuel
Credit Card Bill Payment,5873.21,Bills
Nature's Basket,522.85,Groceries
BigBasket,793.5,Groceries
DMart,1029.01,Groceries
Employer Salary Credit,44709.1,Salary
Domino's India,445.18,Food
Credit Card Bill Payment,5508.79,Bills
DMart,834.36,Groceries
BSNL,1314.17,Bills
DMart,481.0,Groceries
Credit Card Bill Payment,5928.55,Bills
Burger King,449.62,Food
Zepto,748.9,Groceries
McDonald's India,451.84,Food
Cafe Coffee Day,425.27,Food
Municipal Water Department,223.94,Bills
Spotify,167.2,Subscription
Swiggy,323.83,Food
Third Wave Coffee,148.04,Food
Blinkit,588.34,Groceries
Third Wave Coffee,150.52,Food
House Rent Payment,44629.34,Rent
Municipal Water Department,220.77,Bills
Social,1291.75,Food
Domino's India,461.61,Food
Cafe Coffee Day,262.5,Food
Starbucks India,151.45,Food
Credit Card Bill Payment,5483.01,Bills
Third Wave Coffee,143.33,Food
Credit Card Bill Payment,4628.44,Bills
BigBasket,582.43,Groceries
Third Wave Coffee,163.66,Food
Indian Oil,3283.62,Fuel
Zepto,1040.75,Groceries
Barbeque Nation,453.51,Food
Nature's Basket,708.95,Groceries
Ajio,1507.48,Shopping
Tata Power,5532.28,Bills
BPCL,3312.7,Fuel
BigBasket,533.4,Groceries
Zepto,665.45,Groceries
Zomato,185.72,Food
Credit Card Bill Payment,4608.84,Bills
Municipal Water Department,218.82,Bills
BSNL,1340.46,Bills
McDonald's India,330.51,Food
Burger King,288.3,Food
DMart,833.29,Groceries
Nature's Basket,589.21,Groceries
Spotify,167.16,Subscription
Burger King,201.62,Food
Barbeque Nation,405.17,Food
McDonald's India,457.13,Food
DMart,1050.66,Groceries
Meesho,598.72,Shopping
Municipal Water Department,226.65,Bills
Faasos,257.67,Food
EatClub,444.09,Food
Employer Salary Credit,42912.35,Salary
Airtel,608.7,Bills
Airtel,648.07,Bills
House Rent Payment,47664.75,Rent
Faasos,313.79,Food
Indane Gas,854.6,Bills
Adani Electricity,5313.58,Bills
DMart,443.8,Groceries
Burger King,186.78,Food
Local Wine & Beer Shop,1255.5,Food
Barbeque Nation,435.28,Food
Chaayos,157.6,Food
Nykaa,1476.96,Shopping
Zepto,580.86,Groceries
BookMyShow,321.6,Entertainment
Zepto,756.51,Groceries
Domino's India,310.46,Food
Ajio,629.02,Shopping
Flipkart,551.82,Shopping
