user_id,month,total_income,total_expense,total_savings,savings_rate
U0001,2018-01,0.0,84852.15,-84852.15,0.0
U0001,2018-02,0.0,58713.68,-58713.68,0.0
U0001,2018-03,0.0,47682.07,-47682.07,0.0
U0001,2018-04,28930.95,53968.78,-25037.83,-86.54
U0001,2018-05,0.0,61198.59,-61198.59,0.0
U0001,2018-06,0.0,95349.07,-95349.07,0.0
U0001,2018-07,0.0,43837.99,-43837.99,0.0
U0001,2018-08,0.0,59606.98,-59606.98,0.0
U0001,2018-09,0.0,46068.97,-46068.97,0.0
U0001,2018-10,47321.64,53558.63,-6236.99,-13.18
U0001,2018-11,0.0,46496.68,-46496.68,0.0
U0001,2018-12,0.0,95111.19,-95111.19,0.0
U0001,2019-01,0.0,80305.23,-80305.23,0.0
U0001,2019-02,45113.26,40000.07,5113.19,11.33
U0001,2019-03,0.0,81567.36,-81567.36,0.0
U0001,2019-04,0.0,85626.19,-85626.19,0.0
U0001,2019-05,43478.43,48475.25,-4996.82,-11.49
U0001,2019-06,0.0,72473.77,-72473.77,0.0
U0001,2019-07,62918.91,35536.95,27381.96,43.52
U0001,2019-08,131596.61,62564.95,69031.66,52.46
U0001,2019-09,87133.87,76046.53,11087.34,12.72
U0001,2019-10,0.0,18776.31,-18776.31,0.0
U0002,2018-01,0.0,75496.15,-75496.15,0.0
U0002,2018-02,0.0,74593.77,-74593.77,0.0
U0002,2018-03,87621.45,71161.41,16460.04,18.79
U0002,2018-04,0.0,56081.49,-56081.49,0.0
U0002,2018-05,0.0,114014.72,-114014.72,0.0
U0002,2018-06,44660.86,59825.86,-15165.0,-33.96
U0002,2018-07,43599.35,18777.64,24821.71,56.93
U0002,2018-08,44682.35,80880.03,-36197.68,-81.01
U0002,2018-09,44737.05,39306.36,5430.69,12.14
U0002,2018-10,0.0,99583.8,-99583.8,0.0
U0002,2018-11,0.0,83505.9,-83505.9,0.0
U0002,2018-12,43192.48,61675.1,-18482.62,-42.79
U0002,2019-01,0.0,75393.8,-75393.8,0.0
U0002,2019-02,43972.5,43441.05,531.45,1.21
U0002,2019-03,46079.52,119527.46,-73447.94,-159.39
U0002,2019-04,0.0,49120.94,-49120.94,0.0
U0002,2019-05,202071.67,83278.0,118793.67,58.79
U0002,2019-06,95165.73,51137.39,44028.34,46.26
U0002,2019-07,54192.35,46760.71,7431.64,13.71
U0002,2019-08,0.0,141062.36,-141062.36,0.0
U0002,2019-09,0.0,69389.8,-69389.8,0.0
U0003,2018-01,0.0,38022.12,-38022.12,0.0
U0003,2018-02,0.0,79631.93,-79631.93,0.0
U0003,2018-03,45807.43,39344.36,6463.07,14.11
U0003,2018-04,0.0,35033.32,-35033.32,0.0
U0003,2018-05,0.0,107032.57,-107032.57,0.0
U0003,2018-06,0.0,64329.53,-64329.53,0.0
U0003,2018-07,5616.31,15614.06,-9997.75,-178.01
U0003,2018-08,176264.99,29822.45,146442.54,83.08
U0003,2018-09,0.0,46315.34,-46315.34,0.0
U0003,2018-10,0.0,43228.55,-43228.55,0.0
U0003,2018-11,0.0,33027.25,-33027.25,0.0
U0003,2018-12,1276.18,31060.73,-29784.55,-2333.88
U0003,2019-01,0.0,20373.1,-20373.1,0.0
