date,total_spending
2018-01-07,402596.41
2018-01-14,332832.76
2018-01-21,315798.05
2018-01-28,300152.83
2018-02-04,562607.2000000001
2018-02-11,169666.31
2018-02-18,336221.56
2018-02-25,400053.18
2018-03-04,774492.67
2018-03-11,426249.99
2018-03-18,378442.63
2018-03-25,152200.7
2018-04-01,490532.49
2018-04-08,707284.85
2018-04-15,330513.21
2018-04-22,226594.11000000002
2018-04-29,466777.58999999997
2018-05-06,667998.05
2018-05-13,335949.82
2018-05-20,280590.52
2018-05-27,370554.71
2018-06-03,621442.37
2018-06-10,416803.72
2018-06-17,305497.64999999997
2018-06-24,401539.12
2018-07-01,369595.31
2018-07-08,587462.0
2018-07-15,350378.59
2018-07-22,190914.11000000002
2018-07-29,387403.74
2018-08-05,537918.89
2018-08-12,252913.28
2018-08-19,384142.06
2018-08-26,155139.53
2018-09-02,626982.0
2018-09-09,177409.12
2018-09-16,361154.54
2018-09-23,155609.7
2018-09-30,509937.07999999996
2018-10-07,290436.39999999997
2018-10-14,331433.48
2018-10-21,204396.58
2018-10-28,277275.25
2018-11-04,361418.82
2018-11-11,767521.79
2018-11-18,158535.05
2018-11-25,196796.61
2018-12-02,495119.37
2018-12-09,635475.29
2018-12-16,354438.13
2018-12-23,316834.31
2018-12-30,309960.17
2019-01-06,865215.64
2019-01-13,190686.03
2019-01-20,311505.98
2019-01-27,219402.71
2019-02-03,486173.48
2019-02-10,400755.89
2019-02-17,237656.22
2019-02-24,235917.02
2019-03-03,552308.8
2019-03-10,406014.02
2019-03-17,316850.06
2019-03-24,305833.35
2019-03-31,329707.1
2019-04-07,593453.88
2019-04-14,264000.01
2019-04-21,396818.97
2019-04-28,316285.79
2019-05-05,482933.91000000003
2019-05-12,238514.35
2019-05-19,166961.09
2019-05-26,212497.5
2019-06-02,410669.95
2019-06-09,526158.01
2019-06-16,216344.14
2019-06-23,299155.19
2019-06-30,361547.4
2019-07-07,719583.78
2019-07-14,228975.0
2019-07-21,265578.46
2019-07-28,268470.5
2019-08-04,569979.09
2019-08-11,277760.14
2019-08-18,274993.38
2019-08-25,226567.98
2019-09-01,747367.5700000001
2019-09-08,658206.1
2019-09-15,381271.76
2019-09-22,203090.99
2019-09-29,319591.92
2019-10-06,48834.270000000004
2019-10-13,0.0
2019-10-20,167172.74
2019-10-27,104596.35
2019-11-03,81941.11
2019-11-10,120389.94
