transaction_id,transaction_date,transaction_time,merchant,description,amount,currency,payment_method,transaction_type,category,city,state,country,day,week,month,weekend,month_end,salary_week,festival_season,transaction_datetime,log_amount,transaction_hour,is_weekend,is_month_end,is_salary_week,is_night,is_evening,log_merchant_transaction_count_hist,log_merchant_median_amount_hist,log_amount_vs_merchant_median,merchant_zscore_transformed,log_category_transaction_count_hist,log_category_median_amount_hist,log_amount_vs_category_median,category_zscore_transformed,merchant_count_hist,merchant_median_hist,merchant_zscore_hist,category_count_hist,category_median_hist,category_zscore_hist,anomaly_score,anomaly_explanation
TXN006709,2019-10-14,04:21:18,Meesho,POS Purchase Meesho,44286.7,INR,Debit Card,Debit,Shopping,Delhi,Delhi,India,14,42,10,0,0,0,1,2019-10-14 04:21:18,10.698462265110468,4.35,0,0,0,1,0,4.189654742026425,6.92369752340289,3.7757268306077076,2.4231265580074144,6.278521424165844,7.113952041209508,3.585301648185264,2.1178855379843675,65,1015.07,10.281075169892468,532,1227.995,7.313540224851258,0.11713551183658977,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during the night.
TXN006116,2019-10-15,00:25:59,Nykaa,POS Purchase Nykaa,37692.51,INR,Credit Card,Debit,Shopping,Noida,Uttar Pradesh,India,15,42,10,0,0,0,1,2019-10-15 00:25:59,10.537243210075728,0.4166666666666667,0,0,0,1,0,4.110873864173311,7.307624760733142,3.230262551589033,2.3656011007009687,6.282266746896006,7.133024569311362,3.4049907306735574,1.9102219367967397,60,1490.63,9.650438880052686,534,1251.66,5.7545877237545096,0.10963490409224619,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during the night.
TXN004565,2019-06-30,18:26:57,General Store,UPI/General Store,30.74,INR,UPI,Debit,Other,Chennai,Tamil Nadu,India,30,26,6,1,1,1,0,2019-06-30 18:26:57,3.457577715098263,18.433333333333334,1,1,1,0,1,3.091042453358316,7.130738817494981,-3.7043736310907724,-1.132853659239062,5.908082938168931,6.627340072122261,-3.2004507778755356,-0.7660413871062376,21,1248.8,-2.104503065435266,367,754.47,-1.1512334753713145,0.10583771031368083,Unusual transaction because it occurred during an evening period.
TXN005028,2019-11-05,17:48:46,Myntra,POS Purchase Myntra,46249.96,INR,Net Banking,Debit,Shopping,Kolkata,West Bengal,India,5,45,11,0,0,0,1,2019-11-05 17:48:46,10.74183749948191,17.8,0,0,1,0,0,4.74493212836325,6.8688741081778275,3.8739819576411465,2.5039337362753953,6.302618975744905,7.168849506524821,3.573736876654702,1.9765063219413788,114,960.865,11.230511060505986,545,1297.35,6.217483323165794,0.09084221548355642,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median.
TXN005988,2019-08-11,21:31:07,Interest Credit,Interest Credit Savings Account,114.38,INR,NEFT,Credit,Salary,Chennai,Tamil Nadu,India,11,32,8,1,0,0,0,2019-08-11 21:31:07,4.7482310288287435,21.516666666666666,1,0,0,0,1,2.302585092994046,6.997221141256739,-2.256780064952241,-0.9815962899052202,5.062595033026967,10.750819769475996,-6.011272102924017,-0.8443498470830408,9,1092.59,-1.6687128830440536,157,46667.27,-1.3264647649135966,0.08707189956750483,Unusual transaction because it occurred during an evening period.
TXN005115,2019-10-16,19:18:06,Nykaa,UPI/Paytm/Nykaa,40150.94,INR,UPI,Debit,Shopping,Hyderabad,Telangana,India,16,42,10,0,0,0,1,2019-10-16 19:18:06,10.600426037012076,19.3,0,0,0,0,1,4.127134385045092,7.316747492866458,3.2843181786013025,2.0049011757225004,6.284134161070802,7.133822552053442,3.467376561993718,1.94339329316114,61,1504.3,6.425360054655139,535,1252.66,5.982404161124675,0.08645722883028018,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during an evening period.
TXN006482,2019-11-10,03:45:34,Nykaa,POS Purchase Nykaa,34231.0,INR,Net Banking,Debit,Shopping,Pune,Maharashtra,India,10,45,11,1,0,0,1,2019-11-10 03:45:34,10.440916158096654,3.75,1,0,0,1,0,4.189654742026425,7.394732783472878,3.0467688314908576,1.5306587217048542,6.309918278226516,7.176904168052754,3.2647470986952163,1.66259873614982,65,1626.39,3.6212199177759676,549,1307.85,4.272996180248026,0.08533442773126221,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during the night.
TXN006755,2019-06-30,05:36:27,EMI Home Loan,Auto Debit EMI Home Loan,23931.79,INR,Auto Debit,Debit,Bills,Ahmedabad,Gujarat,India,30,26,6,1,1,1,0,2019-06-30 05:36:27,10.083004764160652,5.6,1,1,1,1,0,3.295836866004329,9.70883062694584,0.3741930992143033,0.8859805078186994,7.470224135899966,7.933551324957251,2.1497702298930577,1.608469169442185,26,16461.34,1.4253613117300004,1754,2788.315,3.9951586304404607,0.08207462777258745,Unusual transaction because the amount is significantly higher than this category's historical median and it occurred during the night.
TXN005073,2019-10-15,00:19:18,Flipkart,POS Purchase Flipkart,26128.59,INR,Debit Card,Debit,Shopping,Mumbai,Maharashtra,India,15,42,10,0,0,0,1,2019-10-15 00:19:18,10.170823667614671,0.31666666666666665,0,0,0,1,0,4.672828834461906,7.067426407340773,3.104211776354515,1.6093730018769061,6.280395838960195,7.13222594928425,3.0393587051409106,1.580299010061581,106,1172.125,3.9996754577472524,533,1250.66,3.8564077089287156,0.08088202235964981,Unusual transaction because the amount is significantly higher than this merchant's historical median and the amount is significantly higher than this category's historical median and it occurred during the night.
TXN001891,2019-08-30,01:32:10,Employer Salary Credit,NEFT Salary Credit,67511.5,INR,NEFT,Credit,Salary,Bengaluru,Karnataka,India,30,35,8,0,0,1,0,2019-08-30 01:32:10,11.120068044901146,1.5333333333333332,0,1,1,1,0,5.043425116919247,10.766311155270925,0.35376317611755875,0.0062692900118616925,5.10594547390058,10.75087890855248,0.3691957509647258,0.08722716854740861,154,47395.854999999996,0.006288983142961974,164,46670.03,0.0911445252826748,0.07045630746745213,Unusual transaction because it occurred during the night.
